nuts,Annual Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2071 - 2100)
ITG1,4.445762348175049
LT01,9.839371379216512
LT02,9.853876543045043
LU00,10.559018357594807
PL22,10.364072529474894
PL41,8.640985139211018
PL42,9.820072507858276
PT18,3.9901734312375385
PT20,0.0
PT30,0.0
RO11,9.470640579859415
RO12,9.780608876546223
RO21,8.068149391810099
RO22,5.754132874806722
RO31,7.022717229525248
RO32,6.816561969121297
ITH3,8.092775766054789
ITH4,8.914815987859454
ITH5,6.689566119511922
ITI1,6.768894910812378
ITI2,7.509835600852966
ITI3,7.0291780318532675
ITI4,6.834949433803558
LI00,12.399216715494791
FI1D,9.49222017923991
TR82,7.7758356412251795
TR83,7.455835787455241
TR90,10.331728680928547
TRA1,8.175667810440064
TRA2,9.866284044583638
PL43,8.802877370516459
PL51,9.832332770029703
PL52,9.64348643620809
PL61,8.375569788614909
PL62,9.218107748031617
PL63,9.698478031158448
PL71,9.327824974060059
PL72,9.62300049463908
PL81,9.353545649846394
PL82,10.301531442006429
PL84,9.731136242548624
PL91,8.731786553064982
PL92,9.183495887120564
PT11,5.742539022650037
PT15,3.309246043364207
TRB1,6.828273926462446
TRB2,7.916866095860799
TRC1,4.685217763696398
RS12,7.2770259539286295
RS21,8.58180898030599
RS22,7.264962991078694
SE11,8.602976544698079
SE12,8.694175267219544
NL33,9.996540419260661
NL34,10.44822875658671
NL41,9.93714984258016
NL42,10.310483153661092
PL21,10.156789000829061
UKM6,13.633530489603679
TR22,5.41675682578768
TRC2,4.443982621033986
TRC3,4.261530377467474
UKC1,8.957699648539226
UKC2,9.477115154266357
UKD1,11.360010576248168
UKD3,10.639015754063925
UKD4,11.050054470698038
UKD6,10.01405569712321
UKD7,10.383101050059
UKE1,8.184662429491679
UKE2,9.05378319422404
UKE3,8.073244293530783
RO41,7.385738341013591
RO42,8.969957280158997
RS11,7.90638465086619
TR41,6.153031913439433
TR42,7.73468648592631
TR51,5.4612680792808534
TR52,4.684608586629232
TR61,4.487264899412791
TR62,5.109201129277547
TR63,5.498984745570591
TR71,5.167412503560384
TR72,7.04915509053639
TR81,8.574545486768086
UKK1,8.593744277954102
UKK2,9.217200136184692
UKK3,10.216346229825701
UKK4,10.0320747534434
UKL1,10.302565590540569
UKL2,9.572205273310344
UKM5,11.378717279434204
UKM7,11.751497332255045
UKM8,12.630598576863607
UKM9,11.506585009892781
UKN0,11.23571057319641
SE21,9.263228670756023
SE22,9.450787512461345
SE23,10.609611431757608
SE31,9.38056383927663
SE32,11.201192013422649
SE33,9.9901176293691
SI03,8.172025458017986
SI04,8.734140276908875
SK01,7.795554987589518
SK02,8.36109127998352
SK03,9.213168700536093
SK04,8.899016348520915
TR10,6.7916082779566445
TR21,5.54923894405365
UKE4,9.318454043070476
UKF1,8.394676701227825
UKF2,7.9115429798762005
UKF3,7.942546550432841
UKG1,8.507965707778931
UKG2,9.40642294883728
UKG3,8.789364608128865
UKH1,8.441217215855916
UKH2,8.048720200856527
UKH3,8.46602441583361
UKI3,8.375
UKI4,8.375
UKI5,8.19430988629659
UKI6,8.628581714630126
UKI7,8.06507637500763
UKJ1,7.976262620517185
UKJ2,9.245141951243083
UKJ3,9.063106545380183
UKJ4,9.171389520168304
NO09,10.509720436731975
NO0A,13.702265898386637
NO0B,12.688159380640302
HR05,8.023557360967
HR06,8.048032215663365
NO02,11.455651632944743
NO06,13.410372989518303
NO07,12.305136775970459
NO08,9.952531178792318
