nuts,Winter Extreme Precipitation Days (days) (1981 - 2010)
UKK1,1.7618391553560893
UKK2,1.9465794496238231
UKK3,2.3713156091670196
UKK4,2.1562370558579764
UKL1,2.468808255592982
UKL2,2.145370731751124
UKM5,2.3190857420365014
UKM7,2.3802383959293367
UKM8,2.578303362429142
UKM9,2.45667076309522
UKN0,2.428836327791214
SE21,1.7413614109158515
SE22,1.769528801739216
SE23,1.789142259210348
SE31,1.6368374089399973
SE32,1.8554274246096611
SE33,1.7589969169348478
SI03,1.3802436221390963
SI04,1.438535565137863
SK01,1.4119198222955067
SK02,1.5180953400209547
SK03,1.721446543931961
SK04,1.7193029860655467
TR10,1.8249026318391164
TR21,1.4353584838410218
UKE4,2.0820361534754435
UKF1,1.8226873663564522
UKF2,1.6334470316767693
UKF3,1.6746752491841714
UKG1,1.7606270551681518
UKG2,1.9315340228378772
UKG3,1.7499367624521256
UKH1,1.8102883065740267
UKH2,1.6555432277421156
UKH3,1.7625548362731933
UKI3,1.6333333333333333
UKI4,1.6333333333333333
UKI5,1.6666299611330033
UKI6,1.700121352573236
UKI7,1.6554740071296692
UKJ1,1.6573079098016024
UKJ2,1.8454257691899936
UKJ3,1.8046790401140849
UKJ4,1.882310131813089
NO09,2.2094683557748795
NO0A,2.8158825360238553
NO0B,2.8073606078823405
HR05,1.3612065364917119
HR06,1.3254246592521668
NO02,1.8904056121905646
NO06,2.5733215734362602
NO07,2.312130277355512
NO08,1.8126140435536702
