nuts,May Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2041 - 2070)
FI20,0.39309421790142857
FR10,0.6694472007453441
FRB0,0.7161316980297366
FRC1,0.7238871096322934
FRC2,0.9608255588139097
FRD1,0.8452220405141513
FRD2,0.8706509483357271
FRE1,0.7368565436452628
FRE2,0.852009097735087
FRF1,0.8458900233109792
NL13,0.6582217171788216
NL21,0.7584715202450752
NL22,0.8205306810637315
NL23,0.8405149002869924
NL31,0.6957982709010442
NL32,0.6607399713248014
ITG2,0.3565204444651802
ITH1,1.060019536316395
ITH2,1.0760833270847798
FRI3,0.6619791517344614
FRJ1,0.5640549669663112
FRJ2,0.8800501546512047
FRK1,0.7181482545410593
FRK2,0.8040408415098985
FRL0,0.5473805385020872
FRM0,0.4284612973531087
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.16389745163420835
TR32,0.32783486088737845
TR33,0.4820538969089588
HR03,0.7167539065082867
HR02,0.7555889741828045
HU11,0.8669432153304418
HU12,0.8640270719925562
HU21,0.8136589327827096
HU22,0.7805642982944846
PT16,0.31453398171191416
PT17,0.2832117189963659
FRF2,0.8027740354339282
FRF3,0.89274346070985
FRG0,0.6747658535527686
FRH0,0.6890833949049314
FRI1,0.7884524268408616
FRI2,0.751887654264768
ITC4,0.8006262704730034
ITF1,0.7018799103796483
ITF2,0.46826859526336195
ITF3,0.4110480417807897
ITF4,0.30021153297275305
ITF5,0.303112534681956
ITF6,0.398431748089691
ITG1,0.23230239264667035
LT01,0.7401922986532251
LT02,0.649994669171671
LU00,0.906826019535462
PL22,0.9856293737888336
PL41,0.7189769564817349
PL42,0.7026424515371521
PT18,0.23914007519682248
PT20,0.0
PT30,0.0
RO11,0.941962257400155
RO12,1.1602764209111531
RO21,0.7443753402680159
RO22,0.5899243583281835
RO31,0.7423376576974988
RO32,0.5731612252692382
ITH3,0.8063981374104817
ITH4,1.014961875230074
ITH5,0.6397637493908406
ITI1,0.6527528920210898
ITI2,0.7373497826357682
ITI3,0.6157762696966529
ITI4,0.5786020764460166
LI00,1.4330200254917145
FI1D,0.7918164384861787
TR82,0.7007497482001781
TR83,0.7185862104098002
TR90,1.022560110439857
TRA1,1.0292019980649154
TRA2,1.3673044194777806
PL43,0.5947306031361222
PL51,0.787030587842067
PL52,0.7881533650060495
PL61,0.7398149920627475
PL62,0.9187138070662816
PL63,0.6196789591262738
PL71,0.7901258950432142
PL72,0.9027143980065981
PL81,0.9920812590668598
PL82,0.9946446139365435
PL84,0.9336292242010434
PL91,0.8256021955360969
PL92,0.8756249679873387
PT11,0.4371365051095684
PT15,0.20988202430307865
TRB1,0.8837870854884387
TRB2,0.727701839307944
TRC1,0.40673645716160534
RS12,0.7387484544267257
RS21,0.8264289495535195
RS22,0.8073989160358905
SE11,0.42990567671755947
SE12,0.6486269913458576
NL33,0.5687126643955708
NL34,0.6280724036196867
NL41,0.7855833037445943
NL42,0.8513585552573204
PL21,1.1052095718681811
UKM6,0.8462673865258694
TR22,0.34182155889769394
TRC2,0.38425105437636375
TRC3,0.29040567502379416
UKC1,0.633292230963707
UKC2,0.5883754858126243
UKD1,0.8380420286208391
UKD3,0.7836281048754851
UKD4,0.7862931534647941
UKD6,0.7610371934870879
UKD7,0.7488161653280259
UKE1,0.5248708074291547
UKE2,0.6483898013830185
UKE3,0.5545810744166374
RO41,0.8430635243654251
RO42,0.8411863385389249
RS11,0.7672723790009817
TR41,0.518211919379731
TR42,0.6330196953068177
TR51,0.5938851439704498
TR52,0.5339624230749905
TR61,0.4760071397448579
TR62,0.6152309929331143
TR63,0.4783228509748975
TR71,0.5087209168821574
