nuts,April Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2071 - 2100)
ITH5,0.6924043498312433
ITI1,0.7178338135903081
ITI2,0.8423579670488834
ITI3,0.6492949994901817
ITI4,0.6408096307888627
LI00,1.1006266285975774
FI1D,0.73574679837163
TR82,1.1646713356354408
TR83,0.8568216195950905
TR90,1.1174461288998525
TRA1,0.967404059569041
TRA2,1.0700619391032629
PL43,0.7923032907769084
PL51,0.7889260609944662
PL52,0.9189160958464656
PL61,0.9176143656174341
PL62,0.8720054771751166
PL63,0.8458306863903999
PL71,0.8130903703692768
PL72,0.9511979000022014
PL81,0.8430075477808714
PL82,1.1223858560125033
PL84,0.716311473151048
PL91,0.7409364075710376
PL92,0.7896306769301494
PT11,0.3530517707268397
PT15,0.26807315200567244
TRB1,0.6657796511116127
TRB2,0.9535580266799245
TRC1,0.5038876883685589
RS12,0.7602001708000898
RS21,0.8753926532653471
RS22,0.7717520756026109
SE11,0.5330213361730178
SE12,0.6052665187666814
NL33,0.7177830090125402
NL34,0.6750075342754523
NL41,0.6838948647181193
NL42,0.5915361779431502
PL21,1.1243711151182652
UKM6,0.9184958375990391
TR22,0.3789839725276189
TRC2,0.49463099806259075
TRC3,0.4344514249158757
UKC1,0.8180285781621933
UKC2,0.7464134996136029
UKD1,0.8590360708534718
UKD3,1.003313417484363
UKD4,1.012884464363257
UKD6,0.826942502707243
UKD7,0.7178724785645803
UKE1,0.8609509194890658
UKE2,0.9213921288649242
UKE3,0.8672561968366305
RO41,0.7998688176739961
RO42,0.8966229649881522
RS11,0.769025428344806
TR41,0.6227944208929936
TR42,0.8124892372637987
TR51,0.7107528624435265
TR52,0.5841193574347666
TR61,0.5267455334708627
TR62,0.5610557177237102
TR63,0.5845125807449222
TR71,0.5932001465931535
TR72,0.7855614960038414
TR81,1.0887112845977147
UKK1,0.8178257917364439
UKK2,0.7774004196127255
UKK3,0.6815361853688955
UKK4,0.8199594430625439
UKL1,0.9513347347799156
UKL2,0.9590659716476997
UKM5,0.9354641062517961
UKM7,0.8257227895781398
UKM8,0.8113285059730212
UKM9,0.7867777674148481
UKN0,0.7762714251875877
SE21,0.5305087303432325
SE22,0.5589479370663564
SE23,0.6915705535560847
SE31,0.698316096461245
SE32,0.8349341900398334
SE33,0.7370762252559264
SI03,0.8153160168478887
SI04,0.918642587463061
SK01,0.666191066801548
SK02,0.8158856852600972
SK03,0.9283578680207332
SK04,0.9164622204999129
TR10,0.3217008319993814
TR21,0.41935298989216485
UKE4,0.8539527098337809
UKF1,0.8696721617132426
UKF2,0.8417115146915118
UKF3,0.8526114310537066
UKG1,0.9080242102344831
UKG2,0.8540371671319008
UKG3,1.0053662449121474
UKH1,0.7074118395646413
UKH2,0.8641657364865144
UKH3,0.8064848681290945
UKI3,0.8571428571428571
UKI4,0.8571428571428571
UKI5,0.8000708046768393
UKI6,0.7736794959221568
UKI7,0.8110703329245249
UKJ1,0.8542315667229039
UKJ2,0.7446418264259894
UKJ3,0.7928055141653333
UKJ4,0.7272166493038337
NO09,0.702371274214238
NO0A,0.9956058678882462
NO0B,0.9191591988007227
HR05,0.7451010962327321
HR06,0.7179849741359552
NO02,0.8996184132993221
NO06,1.0816558794428905
NO07,1.088348218301932
NO08,0.736959516753753
