nuts,August Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2041 - 2070)
NL12,0.733196056385835
EL64,0.2513781041527788
EL65,0.1988692848632733
ES11,0.32486380155508715
ES12,0.47151930009325344
ES13,0.5108083372314771
ES21,0.540787835419178
ES22,0.34966455002625785
ES23,0.2946145681043466
ES24,0.3382117820903659
ES30,0.1366777427494526
IE05,0.6401882107059161
IE06,0.6403498190144697
IS00,0.9493977927913269
ITC3,0.4469669764240583
FI19,0.9059674112436672
FI1B,0.8423698887228965
FI1C,0.8554243960728248
DEA1,0.7287570459147295
DEA2,0.7310522546370825
DEA3,0.734904711941878
DEA4,0.9024392624696096
DEA5,0.8065416981776555
DEB1,0.6053316738456488
DEB2,0.5587020742396513
DEB3,0.6467974967012803
DEC0,0.6670310323437055
DED2,0.6348815886924665
DED4,0.5741056171556314
DED5,0.5868739377707243
DEE0,0.6753178803871075
DEF0,0.7953767145673434
DEG0,0.7150733272855481
DK01,0.8450736371179421
DK02,0.7679126635193825
DK03,0.8277783416211605
DK04,0.9206781286746264
ES41,0.24240209821922085
ES42,0.15958751941410204
HU23,0.4752644229059418
HU31,0.5640875233958165
HU32,0.4639894751211007
HU33,0.5233753328522046
IE04,0.9868273310363292
EE00,0.9134316947932045
EL30,0.0904381533463796
EL41,0.024159605676929156
EL43,0.06536700427532197
EL51,0.1989572301506996
EL52,0.27864982256044946
FI20,0.6941553986320893
FR10,0.5208381498853366
FRB0,0.48850441407412293
FRC1,0.6083272700818877
FRC2,0.7313413813710212
FRD1,0.5528020058448117
FRD2,0.5442660016939044
FRE1,0.6435602304836114
FRE2,0.5930084793517987
FRF1,0.8181545731921991
NL13,0.8328041171034177
NL21,0.7018709436058999
NL22,0.6837303640941779
NL23,0.7125140234827996
NL31,0.6040147244930267
NL32,0.7948572225868702
ITG2,0.07589648844053348
ITH1,0.7571151214341323
ITH2,0.706529629478852
FRI3,0.398140170580397
FRJ1,0.3231611713767052
FRJ2,0.46895303937296073
FRK1,0.5312299517604212
FRK2,0.5707506543646256
FRL0,0.3109434095521768
FRM0,0.15227351151406765
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.06355557851493358
TR32,0.13350796786447366
TR33,0.14217955532173315
HR03,0.30834153971324363
HR02,0.4773818778184553
HU11,0.45839258829752605
HU12,0.5782041883716981
HU21,0.5208600507428248
HU22,0.49767121771971384
PT16,0.09523855410516262
PT17,0.04997568776210149
FRF2,0.5612994036947687
FRF3,0.7046030723489821
FRG0,0.36850000464667876
FRH0,0.4115923423009614
FRI1,0.44163065071528157
FRI2,0.5741806171834469
ITC4,0.6239762456466754
ITF1,0.19818621377150217
ITF2,0.17438482381403447
ITF3,0.11047271608064572
ITF4,0.21015473728378614
ITF5,0.1702983144670725
ITF6,0.22129387917617957
ITG1,0.10824870004629096
LT01,0.7356663883974155
LT02,0.807697751869758
LU00,0.6426079665621122
PL22,0.7413119047880172
PL41,0.7236277621239424
PL42,0.7729115223822495
PT18,0.05001525202145179
PT20,0.0
PT30,0.0
RO11,0.584010777870814
RO12,0.7354279561589162
RO21,0.6081540316343308
RO22,0.39518755401174227
RO31,0.5162201361109813
RO32,0.3468095434208711
ITH3,0.5226372525095939
ITH4,0.6742569302519162
ITH5,0.35764870687077444
ITI1,0.3226650763613482
