nuts,January Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2071 - 2100)
RO32,0.5336764176686605
ITH3,0.5867057492956519
ITH4,0.656804263840119
ITH5,0.6156638730317354
ITI1,0.7170199664043528
ITI2,0.8464838677396377
ITI3,0.5650140396008889
ITI4,0.7654719622140485
LI00,1.000167848808425
FI1D,0.8723065227114906
TR82,0.876765449748685
TR83,0.7568018957972527
TR90,0.9191883157317837
TRA1,0.7882543017156423
TRA2,0.9490433623393376
PL43,0.7446498868986964
PL51,0.9140063899258772
PL52,0.9471344222625097
PL61,0.8555191434919834
PL62,0.9232922880599896
PL63,0.984637897523741
PL71,0.7701538244883219
PL72,1.1126784009238084
PL81,0.8219274655605356
PL82,1.0812406497697036
PL84,0.9186134211719036
PL91,0.7817365936934948
PL92,0.8607672692409584
PT11,0.6176082445308566
PT15,0.22669526537259418
TRB1,0.6651954609900713
