nuts,Autumn Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2041 - 2070)
TR32,0.823137125497063
TR33,1.036621499992907
HR03,2.417646612723668
HR02,2.0557828187942504
HU11,1.7249012390772502
HU12,1.834477119644483
HU21,1.965891714890798
HU22,1.9617543304959932
PT16,1.376437630938987
PT17,1.3470318257808684
FRF2,2.3073445156216623
FRF3,2.534912516673406
FRG0,2.0815820237000784
FRH0,2.2068330148855844
FRI1,2.08089586297671
FRI2,2.157690427203973
ITC4,2.0999828015764552
ITF1,1.6718141928315162
ITF2,1.6620600243409476
ITF3,2.1816966950893404
ITF4,1.596852687994639
ITF5,1.4833510145545006
ITF6,1.7174233267704646
ITG1,1.5080038438240686
LT01,2.607864625255267
LT02,2.509868888060252
LU00,2.251105934629838
PL22,2.5462049787243206
PL41,2.0755280002951624
PL42,2.2196931436657907
PT18,0.9766937779883543
PT20,0.0
PT30,0.0
RO11,2.0642455068727332
RO12,1.817381199200948
RO21,1.381621601432562
RO22,1.1619602721184492
RO31,1.3154439508914948
RO32,1.0566240126887958
ITH3,2.35631368458271
ITH4,2.2706672300895057
ITH5,2.0709597865740457
ITI1,2.1053340832392373
ITI2,2.1813277463118235
ITI3,2.0572099198897678
ITI4,2.045904422799746
LI00,2.584077449639638
FI1D,2.822106679280599
TR82,1.6605799665053687
TR83,1.651669017970562
TR90,2.3781110177437466
TRA1,1.6452067126830419
TRA2,2.0475127309560777
PL43,2.2906572659810385
PL51,2.3720049103101095
PL52,2.1809165087838966
PL61,2.0049253702163696
PL62,2.308455290397008
PL63,2.450536549091339
PL71,2.5531843344370526
PL72,2.2157082945108413
PL81,2.236710254351298
PL82,2.320000009735425
PL84,2.0996823807557425
PL91,2.2379397317767142
PL92,2.1902002761761348
PT11,1.36279945174853
PT15,0.7065551829834779
TRB1,1.1843231776418786
TRB2,1.2615437403321266
TRC1,0.8872666801015536
RS12,1.7583439310391744
RS21,1.9160461992025375
RS22,1.644218877951304
SE11,2.566842742760976
SE12,2.2418345312277475
NL33,2.6853672434886295
NL34,2.735545218984286
NL41,2.2516538073619206
NL42,2.1755596021811168
PL21,2.3120667239030204
UKM6,3.847920632362366
TR22,1.2057268862922987
TRC2,0.795987008449932
TRC3,0.7126340948045253
UKC1,2.342464190721512
UKC2,2.2892488012711207
UKD1,2.9088136474291484
UKD3,2.8067458162705106
UKD4,3.1927455008029937
UKD6,2.5512653614083924
UKD7,3.006042305628459
UKE1,2.094200176994006
UKE2,2.364011213183403
UKE3,2.1850632866223654
RO41,1.515018743276596
RO42,1.9212286531925202
RS11,1.925419702877601
TR41,1.3569374047840634
TR42,1.714447019994259
TR51,1.116114211206635
TR52,0.8528174603978793
TR61,0.8344180032610893
TR62,1.0702358474334082
TR63,1.0499228517214456
TR71,1.0605651120344797
TR72,1.3447605391343436
TR81,2.0439138650894164
UKK1,2.2991569379965466
UKK2,2.3482481936613717
UKK3,2.6755085860689483
UKK4,2.5902641981840135
UKL1,3.031912398338318
UKL2,2.46153374115626
UKM5,2.9130060215791067
UKM7,2.8182336151599885
UKM8,3.34299876888593
UKM9,3.137665977080663
UKN0,2.9200022970636685
SE21,2.2947399159272512
SE22,2.566720074415207
SE23,2.7594054142634072
SE31,2.8233746389547982
SE32,3.058197065194448
SE33,2.88820439974467
SI03,2.173658138513565
SI04,2.524119178454081
SK01,1.9054169485966364
SK02,2.063026758035024
SK03,2.225578212738037
SK04,1.9157055328289667
TR10,1.790984426687161
TR21,1.1562088085338473
UKE4,2.4150651663541796
UKF1,2.1474458051224548
UKF2,1.9834691806385913
UKF3,2.130121461302042
UKG1,2.1991115137934685
UKG2,2.288259909550349
UKG3,2.166287350654602
UKH1,1.997953868408998
UKH2,1.8571047176917395
UKH3,1.9662860502799353
UKI3,1.75
UKI4,1.75
UKI5,1.8670705243945123
UKI6,1.7610656082630158
UKI7,1.8446483453114828
UKJ1,1.9561890770991643
UKJ2,2.1319996893405913
UKJ3,2.265673966954152
UKJ4,2.0124571389208237
NO09,2.9914948403835298
NO0A,3.927626633644104
NO0B,4.0993391672770185
HR05,1.8000992685556412
HR06,2.0316090057293574
NO02,3.1218366185824076
NO06,3.894495753447215
NO07,3.5852793574333193
NO08,2.741116295258204
