nuts,February Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2011 - 2040)
RO42,0.6588173225522042
RS11,0.5205023497343063
TR41,0.6033656205050647
TR42,0.7043834085265795
TR51,0.6347097543378671
TR52,0.5106363651653131
TR61,0.6397439716383815
TR62,0.6012896756952008
TR63,0.7039564941078424
TR71,0.5555804070706168
TR72,0.5627824198454618
TR81,0.8039098747074604
UKK1,0.6068760957568884
UKK2,0.6404016929368178
UKK3,0.8269890389094751
UKK4,0.7580402995149295
UKL1,0.8891355102260907
UKL2,0.7897617006674409
UKM5,0.7468850860993067
UKM7,0.7700081944465638
UKM8,0.9142901862661044
UKM9,0.8327669767042001
UKN0,0.8243652310843269
SE21,0.5234416613355279
SE22,0.5844593575845162
SE23,0.514968114408354
SE31,0.4949941382743418
SE32,0.6197761309022705
SE33,0.5857057171563308
SI03,0.5807451624423265
SI04,0.6248794990281265
SK01,0.5304013416171074
SK02,0.7217064375057817
SK03,0.755579276693364
SK04,0.7673489462584258
TR10,0.6798804827034474
TR21,0.5129184563954671
UKE4,0.58722525537014
UKF1,0.5565830281625191
UKF2,0.5462458927184344
UKF3,0.5080378187199434
UKG1,0.6326829607288043
UKG2,0.714970916757981
UKG3,0.610984572271506
UKH1,0.6462672885507346
UKH2,0.5136126761635145
UKH3,0.5774017135302226
UKI3,0.6
UKI4,0.6
UKI5,0.6598017444213231
UKI6,0.6279446353514989
UKI7,0.5779816687107087
UKJ1,0.4942477097113927
UKJ2,0.603951662654678
UKJ3,0.577534357085824
UKJ4,0.6114873883624872
NO09,0.796064351623257
NO0A,1.0505302253489692
NO0B,1.0733940497040748
HR05,0.627848677833875
HR06,0.6204248296717803
NO02,0.6825382952888807
NO06,1.012982318457216
NO07,0.8665257271379232
NO08,0.6447750009596348
