nuts,December Extreme Precipitation Days (days) (1981 - 2010)
ITH3,0.47442496872196593
ITH4,0.5173227426906427
ITH5,0.5440903271858891
ITI1,0.6086983487630884
ITI2,0.6216192853947481
ITI3,0.6365292288983861
ITI4,0.6328046404446165
LI00,0.7500391672054927
FI1D,0.5960670091832677
TR82,0.6562503079883755
TR83,0.5838121913373471
TR90,0.6846926106760899
TRA1,0.534619453176856
TRA2,0.47330041925112404
PL43,0.6696672392388184
PL51,0.7012730869154136
PL52,0.6608178275326888
PL61,0.60822435580194
PL62,0.6575069946547349
PL63,0.6729122171799342
PL71,0.6449795745313167
PL72,0.6349335093051195
PL81,0.6310538783359031
PL82,0.6816897763560216
PL84,0.632259649845461
PL91,0.6379312543819348
PL92,0.6274267112836242
PT11,0.6337742685029905
PT15,0.5100259929895401
TRB1,0.562840109753112
