nuts,March Extreme Precipitation Days (days) (1981 - 2010)
HU12,0.4777425261835257
HU21,0.5064196801433961
HU22,0.522677182033658
PT16,0.43409477894504866
PT17,0.3805206576983134
FRF2,0.739305587982138
FRF3,0.7668223079293967
FRG0,0.5903700695683559
FRH0,0.6729972707728545
FRI1,0.6201247888306777
FRI2,0.6898270410796007
ITC4,0.4933506703625123
ITF1,0.6212935352697968
ITF2,0.6099443192283313
ITF3,0.6139345452810328
ITF4,0.5024547832086682
ITF5,0.5724957364300887
ITF6,0.5866700882713
ITG1,0.4659507821314037
LT01,0.6426238856588801
LT02,0.6290555785410106
LU00,0.7818442150950432
PL22,0.686909023175637
PL41,0.63441109371682
PL42,0.6513103471758465
PT18,0.3502531578143438
PT20,0.0
PT30,0.43251099636157353
RO11,0.641317245302101
RO12,0.6445912060017387
RO21,0.5768768269258241
RO22,0.4749961978755891
RO31,0.5028804232055942
RO32,0.4599714418252309
ITH3,0.5227743313958247
ITH4,0.5962696107725303
ITH5,0.4836788366238276
ITI1,0.5103310530384382
ITI2,0.5783274268110593
ITI3,0.5618504732226332
ITI4,0.5732149761170149
LI00,0.8666666686534882
FI1D,0.5353294231463224
TR82,0.6686531188587348
TR83,0.668082413263619
TR90,0.7743178407351176
TRA1,0.6709524558546642
TRA2,0.705627028675129
PL43,0.6619076540072759
PL51,0.7053384982670347
PL52,0.6540786393607656
PL61,0.6152571914096673
PL62,0.6196210046609243
PL63,0.6411105501155059
PL71,0.6164279544726015
PL72,0.6113927057633798
PL81,0.615000850862513
PL82,0.6727458953857421
PL84,0.6060297273099422
PL91,0.6091018026073773
PL92,0.6046938115730882
PT11,0.4998046237354477
PT15,0.32329633807142577
TRB1,0.645899978466332
TRB2,0.7036117332677047
TRC1,0.5787951327239473
RS12,0.5196372136473656
RS21,0.6602419924611846
RS22,0.5944907202074925
SE11,0.5024593591690063
SE12,0.5121963577965896
NL33,0.719965286552906
NL34,0.6972095449765523
NL41,0.7348227079957723
NL42,0.7745294737319152
PL21,0.6966834700976808
UKM6,1.0498542221883933
TR22,0.5194199430756271
TRC2,0.5915985745998721
TRC3,0.6844023721603055
UKC1,0.7534154877066612
UKC2,0.764089028040568
UKD1,0.8630083403239648
UKD3,0.8299999795854092
UKD4,0.8415951497852803
UKD6,0.7938397827247778
UKD7,0.822135083625714
UKE1,0.6940624793370564
UKE2,0.7536458166937033
UKE3,0.7153481103479862
RO41,0.5404888642330964
RO42,0.6180946754912535
RS11,0.5667769881586234
TR41,0.583125040307641
TR42,0.6850634989639123
TR51,0.5488673126325011
TR52,0.4998927133778731
TR61,0.5629110874608159
TR62,0.5856246917818984
TR63,0.607846881573399
TR71,0.5442601616183916
TR72,0.6323106959462166
TR81,0.7196915755669276
UKK1,0.6419854280849298
UKK2,0.6532257740696271
UKK3,0.7513502776622772
UKK4,0.7062047744790713
UKL1,0.8320582592238982
UKL2,0.7690167148287098
UKM5,0.8630637764930725
UKM7,0.8667855237921079
UKM8,0.9212813834349315
UKM9,0.868470192886889
UKN0,0.8886268896361192
SE21,0.5544950416932504
SE22,0.6028734013438225
SE23,0.586676893165956
SE31,0.5279977996523182
SE32,0.5957952496906121
SE33,0.5729252295258145
SI03,0.5746613871306181
SI04,0.5797241916259129
SK01,0.5423810333013535
SK02,0.5653720462073882
SK03,0.6376736963167786
SK04,0.6164987244953711
TR10,0.5666475132107734
TR21,0.4952090911567211
UKE4,0.7667429777483146
UKF1,0.7215483518938224
UKF2,0.6816814328233401
UKF3,0.6832364242523908
UKG1,0.6700771198918422
UKG2,0.7401960169275602
UKG3,0.6999368126193682
UKH1,0.6735674588630597
UKH2,0.6688716446359952
UKH3,0.6499653632442156
UKI3,0.65
UKI4,0.65
UKI5,0.6533039599657059
UKI6,0.6388737181822459
UKI7,0.6555351664622625
UKJ1,0.658552264670531
UKJ2,0.6319284891088803
UKJ3,0.6426396705210209
UKJ4,0.6411764780680339
NO09,0.7400762354334195
NO0A,0.9408144431809584
NO0B,0.9814815451701482
HR05,0.5444526900847753
HR06,0.5386351078127821
NO02,0.6497436542684834
NO06,0.8286119689544041
NO07,0.7210031557828188
NO08,0.621324114408344
