nuts,May Extreme Precipitation Days (days) (1981 - 2010)
RO32,0.5899714211622874
ITH3,0.77775227210174
ITH4,0.8587057804067929
ITH5,0.5794838898815214
ITI1,0.5093108033761382
ITI2,0.588451140622298
ITI3,0.5536701944967111
ITI4,0.5349018937597673
LI00,1.0500391672054927
FI1D,0.6132072639806817
TR82,0.6993720217918357
TR83,0.712550457008183
TR90,0.9664880069593589
TRA1,0.9691467533508936
TRA2,1.068545229236285
PL43,0.6320003022129337
PL51,0.6914415483673414
PL52,0.688500565290451
PL61,0.6146035791064303
PL62,0.6433137707412243
PL63,0.6055673137307167
PL71,0.6601528229812781
PL72,0.7009243362893661
PL81,0.7003493323922158
PL82,0.7905135721589128
PL84,0.6715672562519709
PL91,0.6530780979742606
PL92,0.651643159861366
PT11,0.6394597393771012
PT15,0.30153931230306624
TRB1,0.7016086542358001
