nuts,Spring Extreme Precipitation Days (days) (1981 - 2010)
HU21,1.6191848545024792
HU22,1.6349279067789515
PT16,1.5458244641621908
PT17,1.2137080589930216
FRF2,2.149909684062004
FRF3,2.230487051606178
FRG0,1.8748099019130071
FRH0,1.9707200179497402
FRI1,2.0933424810568493
FRI2,2.243540862450997
ITC4,1.9544465591510136
ITF1,1.8781535511215528
ITF2,1.7220698098341625
ITF3,1.694274117052555
ITF4,1.256067192244033
ITF5,1.5313684731721877
ITF6,1.49214506149292
ITG1,1.0971222614248595
LT01,1.8734473953644435
LT02,1.7859095071752866
LU00,2.2507863640785217
PL22,2.072117664416631
PL41,1.7723237057526906
PL42,1.8121390687922636
PT18,1.1911044634878636
PT20,0.0
PT30,1.0860737199584642
RO11,2.182278827826182
RO12,2.2928747574488324
RO21,1.930485118428866
RO22,1.5092330262064935
RO31,1.7244725316762923
RO32,1.543261888374885
ITH3,2.0079082945982614
ITH4,2.2130563269058863
ITH5,1.6952880511681239
ITI1,1.632340320944786
ITI2,1.8464722067117691
ITI3,1.7262949248154957
ITI4,1.7526059786478678
LI00,2.7834508289893467
FI1D,1.5994823038578034
TR82,2.0871094365914664
TR83,2.099732844034831
TR90,2.5710650285085044
TRA1,2.4573343127965925
TRA2,2.661995593706767
PL43,1.8300502953430018
PL51,1.972989139954249
PL52,1.916355655590693
PL61,1.7577276249726614
PL62,1.810364023844401
PL63,1.792882355550925
PL71,1.8263888557751973
PL72,1.8974239955345789
PL81,1.8750163912773132
PL82,2.109729605913162
PL84,1.8224313519895077
PL91,1.8076375678181649
PL92,1.80155491232872
PT11,1.7971558175360163
PT15,1.0014233460028967
TRB1,2.093650884926319
TRB2,2.3654016673564913
TRC1,1.515360220707953
RS12,1.6726324565708637
RS21,2.085653844475746
RS22,1.9172861168781916
SE11,1.361440357317527
SE12,1.5140192915995916
NL33,1.9734126801292102
NL34,1.9862304034332434
NL41,2.0668098449707033
NL42,2.11329971353213
PL21,2.172116109728813
UKM6,2.6527623176574706
TR22,1.275244339555502
TRC2,1.5249390364003679
TRC3,1.8613690535227458
UKC1,2.1534702658653258
UKC2,2.171219381690025
UKD1,2.386030325293541
UKD3,2.3131955976287526
UKD4,2.3289599751432735
UKD6,2.2240753789742786
UKD7,2.255533770720164
UKE1,1.9686884776999554
UKE2,2.144989205400149
UKE3,2.070197408894698
RO41,1.849934810400009
RO42,2.0744217952092487
RS11,1.7849649200836817
TR41,1.6066756998499234
TR42,1.8872092162569365
TR51,1.6582212306559085
TR52,1.515086688597997
TR61,1.5543129230539003
TR62,1.7303638264536858
TR63,1.7004769851764043
TR71,1.699439036846161
TR72,2.1142472624778748
TR81,2.037879943350951
UKK1,1.9616223126649857
UKK2,1.9235300893584888
UKK3,2.0766068913042544
UKK4,2.0316067894299823
