nuts,September Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2011 - 2040)
EE00,0.803370633472999
EL30,0.13782995591561
EL41,0.12343318909406661
EL43,0.15434533519049484
EL51,0.30711209879567225
EL52,0.37965920064598324
FI20,0.6293721082309882
FR10,0.4258494553466638
FRB0,0.4369901595326761
FRC1,0.5153486939767996
FRC2,0.7332075068727135
FRD1,0.5537882470215361
FRD2,0.5296676112338901
FRE1,0.6290053874254227
FRE2,0.5634274331231912
FRF1,0.7126375619322062
NL13,0.8634623929858207
NL21,0.8314518955846627
NL22,0.7157271611193816
NL23,0.784090435753266
NL31,0.7791082213322321
NL32,0.9619505184392134
ITG2,0.3499071360876163
ITH1,0.7305217598875363
ITH2,0.7454493748644988
FRI3,0.47569831808408103
FRJ1,0.3676985803991556
FRJ2,0.4194702321042617
FRK1,0.49204425687591236
FRK2,0.567781925542901
FRL0,0.34588988507166507
FRM0,0.4204820600648721
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.11671846987058719
TR32,0.16658760054657856
TR33,0.19099521084378163
HR03,0.5614353850483894
HR02,0.5822546955198049
HU11,0.36650863687197366
HU12,0.4233867861330509
HU21,0.5478182016561429
HU22,0.5461228876685102
PT16,0.3045121064409614
PT17,0.15819462835788728
FRF2,0.5746782908837
FRF3,0.6707031082672378
FRG0,0.44296363669758043
FRH0,0.4986044374915461
FRI1,0.43528778608888385
FRI2,0.49588646106421946
ITC4,0.5196145050538082
ITF1,0.557467961187164
ITF2,0.503744347517689
ITF3,0.4761428140103817
ITF4,0.36861405496795974
ITF5,0.41150308499733607
ITF6,0.4496667814751466
ITG1,0.45425420651833215
LT01,0.8663483090698719
LT02,0.7723532497882843
LU00,0.479568670441707
PL22,0.7321286495774985
PL41,0.7239205809930961
PL42,0.7366665641466776
PT18,0.1789110390158991
PT20,0.0
PT30,0.0
RO11,0.5826020391037067
RO12,0.7208042911564311
RO21,0.5211880023280779
RO22,0.30446473735695084
RO31,0.40893524574736756
RO32,0.2765807809929053
ITH3,0.6926213206723333
ITH4,0.7364959691961607
ITH5,0.5064603090907137
ITI1,0.5524366348981857
ITI2,0.5245822036017974
ITI3,0.4772338902577758
ITI4,0.5339249761154254
LI00,0.6334899932146072
FI1D,0.6586324706673622
TR82,0.45030904859304427
TR83,0.32678273639952143
TR90,0.6793820380543669
TRA1,0.41764849113921326
TRA2,0.3997448911269506
PL43,0.6786815989141662
PL51,0.7533457230155667
PL52,0.5582215279340744
PL61,0.6178158791114886
PL62,0.6871626210088532
PL63,0.6826764325300853
PL71,0.7267228903869788
PL72,0.5830462065835794
PL81,0.6119028966253003
PL82,0.7219989620149135
PL84,0.6973675999479989
PL91,0.6784063295771678
PL92,0.712895730882883
PT11,0.4016160538420081
PT15,0.13654440293709438
