nuts,June Extreme Precipitation Days (days) (1981 - 2010)
DEB1,0.7059725304444631
DEB2,0.7275740252186854
DEB3,0.6626374967396259
DEC0,0.6948576810459296
DED2,0.7180160989363988
DED4,0.7749126677711805
DED5,0.6563808036347231
DEE0,0.6465018757308523
DEF0,0.6835201303164165
DEG0,0.7149866199741761
DK01,0.5887678265571594
DK02,0.6069130253667633
DK03,0.6314157675951719
DK04,0.5944099649786949
ES41,0.4203869023360312
ES42,0.3027577500169476
HU23,0.5944433157642682
HU31,0.6386808164417743
HU32,0.6349038667355974
HU33,0.5842672585820158
IE04,0.8084473938991626
EE00,0.6471504932579895
EL30,0.06791394265989463
EL41,0.0606943824638923
EL43,0.05108379361530145
EL51,0.4448502960304419
EL52,0.37819938448568186
FI20,0.41168913543224334
FR10,0.595508080162108
FRB0,0.5626927355304361
FRC1,0.65711543460687
FRC2,0.7846815826992194
FRD1,0.5512888692940275
FRD2,0.5893281780804197
FRE1,0.6351441209514935
FRE2,0.6423491993919015
FRF1,0.7749857394645612
NL13,0.7055422380566597
NL21,0.7058895873526733
NL22,0.6941256574044625
NL23,0.6974213264882565
NL31,0.6708216448624928
NL32,0.6409094482660294
ITG2,0.1820088013385733
ITH1,1.0237018838524818
ITH2,1.045413498332103
FRI3,0.5192359494976699
FRJ1,0.47237967532128095
FRJ2,0.6265632517635822
FRK1,0.6730756699107587
FRK2,0.6965665961926182
FRL0,0.47997463947782915
FRM0,0.27363320502142113
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.13164369035512208
TR32,0.14938781587406993
TR33,0.27826691151907046
HR03,0.49010058244069415
HR02,0.6457470459242661
HU11,0.5582740714152654
HU12,0.5748894351224104
HU21,0.5703194607049227
HU22,0.622002749145031
PT16,0.2868725814235707
PT17,0.1582919865846634
FRF2,0.6834786506990592
FRF3,0.7236266490382453
FRG0,0.4885011110765239
FRH0,0.494255314891537
FRI1,0.5793867552342514
FRI2,0.66306358675162
ITC4,0.7227193046361208
ITF1,0.5151591397821903
ITF2,0.44124922901391983
ITF3,0.34626871105283497
ITF4,0.2520220709343751
ITF5,0.32307945589224496
ITF6,0.2551631828770041
ITG1,0.14164455533027648
LT01,0.751937442769607
LT02,0.7066122680902481
LU00,0.7201793134212494
PL22,0.7949586667741338
PL41,0.6772749051451683
PL42,0.6864200067085524
PT18,0.17404885940874618
PT20,0.0
PT30,0.17166457921266556
RO11,0.8401308751665055
RO12,0.9056590959429741
RO21,0.7756340133647124
RO22,0.5790351285288732
RO31,0.6843761539707581
RO32,0.6332762231429417
ITH3,0.792739637941122
ITH4,0.877029330159227
ITH5,0.5122178093219797
ITI1,0.40640324978157877
ITI2,0.4810894193748633
ITI3,0.4775524151821931
ITI4,0.4115867936983705
LI00,1.0833725015322366
FI1D,0.68385199457407
TR82,0.578579356148839
TR83,0.5346702278281251
TR90,0.8492381457860271
TRA1,0.6553134638816118
TRA2,0.7996620850016674
PL43,0.662516346325477
PL51,0.7267105180770159
PL52,0.7296775764475266
PL61,0.6852672641475995
PL62,0.7271750065187613
PL63,0.703409131988883
PL71,0.708055583263437
PL72,0.7359657121201356
PL81,0.724549506449451
PL82,0.8126979321241379
PL84,0.7185328730692466
PL91,0.7060963898897171
PL92,0.7024215944111347
PT11,0.3745627374077837
PT15,0.10825459485252699
TRB1,0.32753732247898976
