nuts,February Extreme Precipitation Days (days) (1981 - 2010)
ES41,0.47200340004637836
ES42,0.37960194900321464
HU23,0.4138732413450877
HU31,0.4433160110066334
HU32,0.4671207993601759
HU33,0.43578846926490467
IE04,0.7615136840691169
EE00,0.537016093203177
EL30,0.442719629406929
EL41,0.5304380665222804
EL43,0.5953056382636229
EL51,0.46408292731891077
EL52,0.4830892447382212
FI20,0.4705679723372062
FR10,0.5648483953128258
FRB0,0.5818743613859018
FRC1,0.6293803558374444
FRC2,0.6659605969985326
FRD1,0.6231794010847806
FRD2,0.5980576751132806
FRE1,0.5814304151882728
FRE2,0.5793552180752158
FRF1,0.6523474340637525
NL13,0.5861605485280355
NL21,0.5941327313582102
NL22,0.588373014330864
NL23,0.5922930901249249
NL31,0.5874883115291596
NL32,0.6183936061958472
ITG2,0.4676944473137458
ITH1,0.5116225741803646
ITH2,0.3985716260969639
FRI3,0.5405505754053592
FRJ1,0.48487030317385993
FRJ2,0.5874465157588323
FRK1,0.6418156303465367
FRK2,0.5687989422430595
FRL0,0.39280933756381275
FRM0,0.4799111016094685
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.5435926916698615
TR32,0.5427455863915384
TR33,0.5065186683709423
HR03,0.5251277567818761
HR02,0.47873159175117813
HU11,0.4166271617015203
HU12,0.4249389280875524
HU21,0.42857640478760006
HU22,0.41444120059410733
PT16,0.4853978278115392
PT17,0.45830169146259625
FRF2,0.6147173706442117
FRF3,0.629022766618679
FRG0,0.5400481438574691
FRH0,0.6233280409748355
FRI1,0.5695335699555775
FRI2,0.6426615609476963
ITC4,0.3820240156104167
ITF1,0.550505265655617
ITF2,0.5608098073552052
ITF3,0.5838063556700945
ITF4,0.5045057285577059
ITF5,0.5333678454160691
ITF6,0.5995190020650625
ITG1,0.511891998971502
LT01,0.6056282968570789
LT02,0.5782447277568281
LU00,0.6229055295387904
PL22,0.6400852828597029
PL41,0.5628562271595001
PL42,0.5875636914124092
PT18,0.4137902478687465
PT20,0.0
PT30,0.44908704807360966
RO11,0.5807584493421019
RO12,0.5382655593877037
RO21,0.4483842665950457
RO22,0.37408113743488985
RO31,0.3919452876163026
RO32,0.36331905275583265
ITH3,0.3765522028009097
ITH4,0.41829185336828234
ITH5,0.4057747441654404
ITI1,0.4505108566954732
ITI2,0.5086689288417499
ITI3,0.5147869300097228
ITI4,0.5254315473139286
LI00,0.6833724995454152
FI1D,0.4889683652979632
TR82,0.6336055032908916
TR83,0.5842537846416235
TR90,0.6808665211312472
TRA1,0.562861281260848
TRA2,0.5246823223307728
PL43,0.5747006696959337
PL51,0.6234447741881013
PL52,0.5932450906684001
PL61,0.5480117270102104
PL62,0.5848082318902016
PL63,0.6012507290889819
PL71,0.5788433116550247
PL72,0.5815127865721782
PL81,0.5933594599366188
PL82,0.6456082319840789
PL84,0.5716202778120836
PL91,0.5924394356707732
PL92,0.5775735737445454
PT11,0.5056520394980908
PT15,0.3833416289339463
TRB1,0.5789531144934396
TRB2,0.5769789539277553
TRC1,0.5615336944038669
RS12,0.4473784310122331
RS21,0.578035548577706
RS22,0.5184431840665639
SE11,0.5009857909133036
SE12,0.4720327949306617
NL33,0.591021844247977
NL34,0.5666362181305885
NL41,0.5841018875439962
NL42,0.6207443058490754
PL21,0.6494410824030638
UKM6,0.9136469747250279
TR22,0.5554687025646369
TRC2,0.5663031773641706
TRC3,0.5988725163042545
UKC1,0.6689664969841639
UKC2,0.6653777172168096
UKD1,0.736187078182896
UKD3,0.6665683567523957
UKD4,0.7102620502312978
UKD6,0.6150470480322838
UKD7,0.662774137655894
UKE1,0.5723465913285811
UKE2,0.6557142366965611
UKE3,0.588021732121706
RO41,0.44370162291452286
RO42,0.5505418631869058
RS11,0.4950508450468381
TR41,0.5581693585962058
TR42,0.6748445928096771
TR51,0.49169947151094673
TR52,0.4657955232386788
TR61,0.5646703578531742
TR62,0.5521517175560197
TR63,0.5703223163882891
TR71,0.48785935069123904
TR72,0.5306391722988337
TR81,0.7149583532164494
UKK1,0.5346283788482348
UKK2,0.5733116418123245
UKK3,0.6909233688066403
UKK4,0.6294319814691941
UKL1,0.7156326447923979
UKL2,0.6435801113024354
UKM5,0.7186541485289732
UKM7,0.7291867955277364
UKM8,0.7784725477298101
UKM9,0.7373958379030228
UKN0,0.7321076450248559
SE21,0.5462914379313588
SE22,0.5586516944070657
SE23,0.5339337963610887
SE31,0.4714158552698791
SE32,0.5486450851274033
SE33,0.5368310411926359
SI03,0.43289374684294063
SI04,0.4345841060082118
SK01,0.4544792152941227
SK02,0.50313194381694
SK03,0.5671604228516419
SK04,0.5594379168003798
TR10,0.6049741641928752
TR21,0.4737497831384341
UKE4,0.6461080739895503
UKF1,0.5714998996506134
UKF2,0.5149483989924193
UKF3,0.5282315214474996
UKG1,0.5368444347133239
UKG2,0.5891420883436997
UKG3,0.5388572603464127
UKH1,0.5463292275865873
UKH2,0.5044221803545952
UKH3,0.5208477646112442
UKI3,0.5
UKI4,0.5
UKI5,0.4999999970197678
UKI6,0.500000003973643
UKI7,0.5000000009934108
UKJ1,0.5079964579393467
UKJ2,0.5335355451951425
UKJ3,0.5353440855940182
UKJ4,0.5431158782293399
NO09,0.6466555009906491
NO0A,0.8560178840532899
NO0B,0.873980309565862
HR05,0.4389179140329361
HR06,0.42826687892278037
NO02,0.5626262670382858
NO06,0.821431444833676
NO07,0.7438646950603773
NO08,0.5329255153114597
