nuts,June Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2071 - 2100)
RO32,0.6899571609993775
ITH3,1.1385446727275848
ITH4,1.2691828767458597
ITH5,0.6671415466815234
ITI1,0.5841332660367091
ITI2,0.5899484311895711
ITI3,0.670958015198509
ITI4,0.5688795275365313
LI00,2.049960837761561
FI1D,0.9048549984892209
TR82,0.7081970800645649
TR83,0.6219650854888771
TR90,1.0103558589305197
TRA1,0.6947472902014852
TRA2,1.0332057863473891
PL43,1.0870665619770685
PL51,1.145535734295845
PL52,1.2586170832759567
PL61,0.7726691087086995
PL62,0.898156856931746
PL63,0.9975126415491105
PL71,1.063789808191359
PL72,1.1683755109707514
PL81,1.1906042675177255
PL82,1.4853225563253676
PL84,1.0249338873041174
PL91,1.2448310608665147
PL92,1.1467492818832397
PT11,0.26303928686926764
PT15,0.03747014568320343
