nuts,Spring Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2011 - 2040)
TR61,1.4547712655117115
TR62,1.9415429348746935
TR63,1.8201736663778623
TR71,1.6375185012817384
TR72,2.2864902092764776
TR81,2.546260706583659
UKK1,1.9157102972269058
UKK2,1.997064853211244
UKK3,2.1741949657599133
UKK4,2.0137276897827783
UKL1,2.5690217981735866
UKL2,2.3354542473951976
UKM5,2.652784287929535
UKM7,2.576953496535619
UKM8,2.6622199515501657
UKM9,2.586104619503021
UKN0,2.638861307501793
SE21,1.7261799772580464
SE22,1.870591163635254
SE23,1.9028752823670705
SE31,1.7902599920829136
SE32,2.0645061771074933
SE33,1.9532100439071656
SI03,2.137875650326411
SI04,2.3416704138120017
SK01,1.9698509258528552
SK02,2.2022268066803616
SK03,2.3917369186878203
SK04,2.5184381186962126
TR10,1.5674973830580712
TR21,1.5417494232455888
UKE4,2.3927802364031474
UKF1,2.156219530602296
UKF2,1.906995314359665
UKF3,2.0626326461633044
UKG1,1.9274483537922302
UKG2,2.2219754735628765
UKG3,1.966824788848559
UKH1,1.8798666348059971
UKH2,2.08394406636556
UKH3,1.924971187611421
UKI3,2.2333333333333334
UKI4,2.2333333333333334
UKI5,2.3271659622589747
UKI6,2.2149828751881917
UKI7,2.2106421689192453
UKJ1,2.0186944603919983
UKJ2,1.874203600982825
UKJ3,1.9605065907041233
UKJ4,1.8290602241953213
NO09,2.0841177334388097
NO0A,2.841102492809296
NO0B,2.2114721367756527
HR05,1.8834208299716313
HR06,1.945789952079455
NO02,2.1156691690286
NO06,2.699402845899264
NO07,2.639761034647624
NO08,2.095248364408811
