nuts,Summer Extreme Precipitation Days (days) (1981 - 2010)
EL43,0.09879988071819147
EL51,1.0266784141461054
EL52,0.9715379611278574
FI20,1.4252317742755016
FR10,1.6223253538211186
FRB0,1.548312093814214
FRC1,1.80239544014136
FRC2,2.171427604556084
FRD1,1.65178684592247
FRD2,1.739514442284902
FRE1,1.8347470848510663
FRE2,1.8055713474750519
FRF1,2.1781348387400308
NL13,2.160932085911433
NL21,2.131396234035492
NL22,2.0982983325918516
NL23,2.153831615547339
NL31,2.087418179710706
NL32,2.033821750432253
ITG2,0.35243440239379803
ITH1,2.8949804345766705
ITH2,2.930823977788289
FRI3,1.4169794151559472
FRJ1,1.2750355194012324
FRJ2,1.7476815025011698
FRK1,1.8413007229566574
FRK2,1.8769493172566096
FRL0,1.209788723786672
FRM0,0.6066740023593108
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.23794037209202845
TR32,0.2883274915938576
TR33,0.5425572175532579
HR03,1.190954143802325
HR02,1.652303221821785
HU11,1.4748617251714071
HU12,1.5440594407419364
HU21,1.5340796048442522
HU22,1.6546126049011947
PT16,0.6035259766814609
PT17,0.2887883814672629
FRF2,1.886135287086169
FRF3,2.0161157220602037
FRG0,1.3741134082277615
FRH0,1.479646027336518
FRI1,1.6085548604528108
FRI2,1.8204812536636987
ITC4,1.9985954562822978
ITF1,1.3110856706897418
ITF2,1.1649052202701569
ITF3,0.8799809667592248
ITF4,0.6328422759970029
ITF5,0.8358960765103499
ITF6,0.6813341906294227
ITG1,0.31145839958141247
LT01,2.1179168318708737
LT02,2.071175433198611
LU00,2.0786142041285833
PL22,2.2141486833492916
PL41,1.92834323545297
PL42,2.0411295632521314
PT18,0.3136997438346346
PT20,0.0
PT30,0.3763623977700869
RO11,2.2679391403992972
RO12,2.491203022003174
RO21,2.093610085050265
RO22,1.4467439288894335
RO31,1.764167686800162
RO32,1.5765525129934153
ITH3,2.169341520468394
ITH4,2.335505716005961
ITH5,1.3670037214954693
ITI1,1.002451455189536
ITI2,1.1722080824275811
ITI3,1.2125858632226785
ITI4,1.0008646549036107
LI00,3.1334899922211963
FI1D,2.115965524315834
TR82,1.2699241057038306
TR83,1.1493731409311294
TR90,2.4929801722367606
TRA1,1.5338647743066152
TRA2,1.9728973935047784
PL43,1.9143878559271494
PL51,2.0865813622872036
PL52,2.0358131360883513
PL61,1.9333688154816628
PL62,2.078557460010052
PL63,2.093762622276942
PL71,1.9635631710290908
PL72,2.0333990454673767
PL81,2.018672992785772
PL82,2.2654101391633352
PL84,2.034697897732258
PL91,1.9394638985395432
PL92,1.94601678053538
PT11,0.857030809422334
PT15,0.16820597996314365
TRB1,0.5427687046428521
TRB2,0.8022569060325623
TRC1,0.23224959845344226
RS12,1.5491925203551848
RS21,1.851028303305308
RS22,1.6219613651434581
SE11,1.7246189147233963
SE12,1.9695776199301085
NL33,2.0065600981314975
NL34,1.922125838448604
NL41,2.0203105449676513
NL42,2.0514981816212337
PL21,2.3513027926286063
UKM6,2.570283611615499
TR22,0.5168016058703263
TRC2,0.1841179543485244
TRC3,0.24212398227925103
UKC1,2.086817307273547
UKC2,2.149728152900934
UKD1,2.4914305329322817
UKD3,2.3730776806672416
UKD4,2.4580442726612093
UKD6,2.187325990200043
UKD7,2.3255484203497567
UKE1,1.8489478766918181
UKE2,2.0858544781804085
UKE3,1.958111889908711
RO41,1.7784649677574635
RO42,1.9657801985740662
RS11,1.5668101236224174
TR41,0.7911487149695555
TR42,1.2324008780221145
TR51,0.6823799352161586
TR52,0.4663954615592957
TR61,0.48618226014077665
TR62,0.737557157377402
TR63,0.4753891805186868
TR71,0.5291097715497017
TR72,0.7337982007923226
TR81,1.4533370908349752
UKK1,1.7567063922683397
UKK2,1.7606870730717976
UKK3,1.8563375659286976
UKK4,1.882478161652883
UKL1,2.2215405702590942
UKL2,2.1094298804799716
UKM5,2.245867752532164
UKM7,2.3396636724472044
UKM8,2.490109212199847
UKM9,2.374034609397252
UKN0,2.4414605965216953
SE21,1.9184934002657732
SE22,1.938846823697289
SE23,2.0986207822958627
SE31,2.100705309212208
SE32,2.228066743413607
SE33,2.196322371562322
SI03,1.9842595646778742
SI04,2.069644679625829
SK01,1.6968156126638254
SK02,1.7772384653488795
SK03,2.171025989452998
SK04,2.159404198825359
TR10,0.8464770190417766
TR21,0.7951498080044985
UKE4,2.128403642773628
UKF1,1.9328289702534676
UKF2,1.7966490412751834
UKF3,1.7998059064149856
UKG1,1.816358133405447
UKG2,1.9824991047382354
UKG3,1.8776829799016317
UKH1,1.7705311983823777
UKH2,1.7309924736618996
UKH3,1.6831139465173086
UKI3,1.6666666666666667
UKI4,1.6666666666666667
UKI5,1.6732745985190074
UKI6,1.6722677523891132
UKI7,1.6999388267596562
UKJ1,1.7397169979910057
UKJ2,1.5536412127315997
UKJ3,1.6181146641572317
UKJ4,1.6352197130521138
NO09,2.0475858281056087
NO0A,2.664350454012553
NO0B,1.2335209938387075
HR05,1.6942907522122066
HR06,1.6821440130472183
NO02,2.437205449740092
NO06,2.6699403127034507
NO07,2.4307801127433777
NO08,2.1579996019601824
