nuts,Summer Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2071 - 2100)
TR90,2.519480044643084
TRA1,1.1796593980065413
TRA2,2.3913538487894193
PL43,2.4007253085573512
PL51,2.7895584117089
PL52,2.5186207219958305
PL61,2.3451055474579334
PL62,2.6608084003130594
PL63,2.6094861567020415
PL71,2.537423701832692
PL72,3.035436564683914
PL81,2.688906494776408
PL82,3.0301832130977084
PL84,2.7446348508199057
PL91,2.6317948063037226
PL92,2.685272022088369
PT11,0.7098017138118545
PT15,0.11330347868303457
TRB1,0.4263497511545817
TRB2,0.5388498092691104
TRC1,0.22295489770670732
RS12,1.7582939177751542
RS21,1.7561842441558837
RS22,1.4917346755663554
SE11,2.1886937809487184
SE12,2.603777333100637
NL33,2.2565473288297655
NL34,2.4194260627031325
NL41,2.557919975121816
NL42,2.6061619997024534
PL21,2.967902531226476
UKM6,3.2113003571828207
TR22,0.5469092320916908
TRC2,0.1566155125076572
TRC3,0.19502852186560632
UKC1,2.2755493771817004
UKC2,2.506125549475352
UKD1,2.6154062960829054
UKD3,2.81668506860733
UKD4,2.7133082032203673
UKD6,2.658932117621104
UKD7,3.074778211116791
UKE1,1.8961203932762145
UKE2,2.1654272010283813
UKE3,2.0438000450531644
RO41,1.9384814383728164
RO42,2.4930504371722537
RS11,1.6067013680934905
TR41,0.6730196920533975
TR42,1.168332735573252
TR51,0.5678448341786861
TR52,0.37306668373445667
TR61,0.4428786516810457
TR62,0.5933544581889042
TR63,0.380055206295635
TR71,0.472695770241054
TR72,0.6710453872879346
TR81,1.4383882222076256
UKK1,2.062574124832948
UKK2,1.968374989926815
UKK3,2.0946846028168995
UKK4,2.16624565521876
UKL1,2.4186168750127157
UKL2,2.443376141786575
UKM5,2.788710457938058
UKM7,3.0005322277545927
UKM8,3.045508243640264
UKM9,2.8005856573581696
UKN0,2.5144719580809274
SE21,2.611415179570516
SE22,2.640283352136612
SE23,2.6939663269690106
SE31,2.8701511934399604
SE32,3.1031555831432343
SE33,3.0576403578122457
SI03,2.0345389902591706
SI04,2.009725493112845
SK01,2.110501782844464
SK02,2.2663967102766036
SK03,2.629094119866689
SK04,2.870388758182526
TR10,0.9711697831749916
TR21,0.7466040469706059
UKE4,2.0868826434016228
