nuts,August Extreme Precipitation Days (days) (1981 - 2010)
TR32,0.08283684977019827
TR33,0.13405693123737972
HR03,0.3920452501003941
HR02,0.514219065507253
HU11,0.46666666070620216
HU12,0.49151312857866286
HU21,0.4971720019976298
HU22,0.52928464555492
PT16,0.1803978196034829
PT17,0.08885647257169088
FRF2,0.5998202249407768
FRF3,0.6457608247175812
FRG0,0.44316709401706855
FRH0,0.4975980283382038
FRI1,0.5409466357901692
FRI2,0.5935931271562974
ITC4,0.6687650162105759
ITF1,0.42824141718447206
ITF2,0.3941966246813536
ITF3,0.30211428279678026
ITF4,0.21235813026626904
ITF5,0.26673545117179553
ITF6,0.2331525282934308
ITG1,0.11965105232472222
LT01,0.6778601609170437
LT02,0.6885398123878985
LU00,0.6663617317875227
PL22,0.6790426545465986
PL41,0.6128845705961188
PL42,0.6828258711844682
PT18,0.09121462311595678
PT20,0.0
PT30,0.13292995889981588
RO11,0.6718999050868054
RO12,0.7462216245631377
RO21,0.61581893141071
RO22,0.40857406354819736
RO31,0.5032844244502485
RO32,0.42994287634889283
ITH3,0.7088361258308092
ITH4,0.7310614705085754
ITH5,0.4803154420107603
ITI1,0.3492125701159239
ITI2,0.3998702841500441
ITI3,0.42425523748000465
ITI4,0.3376361376295487
LI00,1.0167058328787486
FI1D,0.7262489623079698
TR82,0.3475211255252361
TR83,0.30303792745495833
TR90,0.8354943715035915
TRA1,0.41953241374964517
TRA2,0.5616807498658697
PL43,0.6205719249323011
PL51,0.6564111593800287
PL52,0.6226978602508704
PL61,0.6096989753345649
PL62,0.6706785925353567
PL63,0.6993003569543361
PL71,0.6037675082062681
PL72,0.6219875223313769
PL81,0.6069093381986022
PL82,0.6929885985329747
PL84,0.6219024469144643
PL91,0.590898230796059
PL92,0.5982030813892683
PT11,0.25390700014928974
PT15,0.05163046816984813
TRB1,0.10597792960082492
TRB2,0.17203546542053422
TRC1,0.05069877449423075
RS12,0.45225383589665097
RS21,0.5552158753698071
RS22,0.4741252395324409
SE11,0.6422955468297005
SE12,0.6909547132750352
NL33,0.6843378213544686
NL34,0.6443277783691883
NL41,0.649271218975385
NL42,0.6514010066787402
PL21,0.7272198583930731
UKM6,0.9208242775251468
TR22,0.14086534045636653
TRC2,0.038917744314918915
TRC3,0.0494239111430943
UKC1,0.6955510238806407
UKC2,0.7267973200728496
UKD1,0.859200514232119
UKD3,0.7965880180398623
UKD4,0.8457323489089806
UKD6,0.7331211899717649
UKD7,0.8034786276519299
UKE1,0.601893295844396
UKE2,0.6902572903782129
UKE3,0.6335299241046111
RO41,0.5274281793584427
RO42,0.5753913252924879
RS11,0.45903888071576754
TR41,0.20557205726703007
TR42,0.35454324645300705
TR51,0.1524236029945314
TR52,0.0937115286787351
TR61,0.12630933821201323
TR62,0.21644027310733993
TR63,0.12412719776233037
TR71,0.0950855542284747
TR72,0.1419310752612849
TR81,0.41729632864395777
UKK1,0.576559633264939
UKK2,0.594457338253657
UKK3,0.6480829189221065
UKK4,0.6510013214002053
UKL1,0.7748427506536245
UKL2,0.7091047742714485
UKM5,0.7766700590650241
UKM7,0.7982995721821984
UKM8,0.8641824185848236
UKM9,0.8249847399070859
UKN0,0.8496399049957594
SE21,0.6630760475993156
SE22,0.6696540286143621
SE23,0.7424080689748128
SE31,0.7319549193916222
SE32,0.7524008195226392
SE33,0.7531057770053545
SI03,0.6441312250991662
SI04,0.6565911709020535
SK01,0.5332886656125386
SK02,0.5610811490565538
SK03,0.679831700772047
SK04,0.6681262167791525
TR10,0.2782286101331313
TR21,0.20476828049868345
UKE4,0.7077228719989459
