nuts,July Days With High Fire Danger (days) ensemble median - RCP8.5 - (2011 - 2040)
ITI3,7.174236336350441
ITI4,10.162381269534428
LI00,0.0
FI1D,0.09696473733832439
TR82,8.558470956484477
TR83,11.2978222767512
TR90,1.5111444003880024
TRA1,8.395172293980917
TRA2,0.2511778692404429
PL43,1.537470966950059
PL51,0.7578305181736747
PL52,0.6415921767552694
PL61,0.8451912857592105
PL62,0.416762380534783
PL63,0.3755218111909926
PL71,1.1748926224497458
PL72,0.8342671966490646
PL81,0.804951406813537
PL82,0.2962355891863505
PL84,0.5905982734635472
PL91,0.8341391985615094
PL92,0.8065271640817324
PT11,9.44057770172755
PT15,28.041439533233643
TRB1,27.962012227376302
TRB2,23.520153204600017
TRC1,30.6362512588501
RS12,4.6544657289360964
RS21,2.0114424186448256
RS22,4.397786527251204
SE11,0.5219462322692077
SE12,0.6315556978496413
