nuts,Annual Days With High Fire Danger (days) ensemble median - RCP8.5 - (2011 - 2040)
LT01,1.4286364894360304
LT02,1.4769679685744146
LU00,1.9790195922056835
PL22,2.231745060409109
PL41,4.901659875114759
PL42,2.724960370392849
PT18,103.55385411580404
PT20,0.0
PT30,0.0
RO11,1.985822172400852
RO12,0.5042493743201096
RO21,4.5442933993103605
RO22,18.567196174462637
RO31,11.595210560162862
RO32,8.606024612983068
ITH3,1.8254290979355574
ITH4,0.26496852686007816
ITH5,10.12133132815361
ITI1,15.97957006295522
ITI2,26.889849559466043
ITI3,16.65296041170756
ITI4,24.05457050005595
LI00,0.0
FI1D,0.3104810902305568
TR82,34.65948206583659
TR83,40.93502000172933
TR90,6.727700432141622
TRA1,36.89298013051351
TRA2,2.5602867186069487
PL43,5.637260874484976
PL51,3.0178608054295184
PL52,2.7948786690210303
PL61,3.0273221439992386
PL62,1.674846636177972
PL63,1.8973751889541746
PL71,4.252636553750684
PL72,2.7327753422781824
PL81,2.9167997773736714
PL82,1.3589609400679667
PL84,2.2125384977087377
PL91,2.970807446477314
PL92,2.9423401071690023
PT11,36.70932760238647
PT15,115.3286033630371
TRB1,109.64337259928385
TRB2,86.44770011901855
TRC1,144.15055236816406
RS12,15.258666416009268
RS21,6.241851230214039
RS22,12.68395589987437
SE11,1.3345973412195842
SE12,1.6386893118421237
NL33,1.3044428825378418
NL34,2.003589338560899
NL41,2.1517546164492765
NL42,2.0685867543021836
PL21,0.7346294439397753
UKM6,0.09788705909935137
TR22,83.72160441080729
TRC2,156.55763041178386
TRC3,162.3538579305013
UKC1,0.6493065691242615
UKC2,0.5182519072045882
UKD1,0.3563107671837012
UKD3,0.7365814417600631
UKD4,0.46406258816520374
UKD6,0.7359582338482141
UKD7,0.44007711013158163
UKE1,2.1781410465637845
UKE2,1.2118983164429664
UKE3,2.2884530362983546
RO41,12.626365411281586
RO42,4.267992277940114
RS11,13.850230777263642
TR41,77.47830301920573
TR42,18.085964290301003
TR51,100.88538042704265
TR52,123.66272939046225
TR61,88.74563420613607
TR62,73.9082405090332
TR63,113.40966517130533
TR71,116.84711354573568
TR72,88.02682952880859
TR81,11.046812852223715
UKK1,2.138465242212017
UKK2,1.635360250994563
UKK3,1.1794905066490173
UKK4,1.1434779091427723
UKL1,0.5147856421768665
UKL2,0.7120616838956872
UKM5,0.1494663754478097
UKM7,0.17226188102116188
UKM8,0.21074242753287156
UKM9,0.3800659049923221
UKN0,0.30849042187134423
SE21,2.4819915658328684
SE22,1.750891836732626
SE23,1.7481247725586095
SE31,0.9483023556725433
SE32,0.5074326287023723
SE33,0.5059819200697044
SI03,0.6742347688103716
SI04,0.23851233447591463
SK01,11.537048468987146
SK02,8.373626734813055
SK03,1.0425167934348185
SK04,1.466509284824133
TR10,43.344976329803465
TR21,61.94130280812581
UKE4,1.3669271886348724
UKF1,2.5999125222365063
UKF2,3.667093470816811
UKF3,3.758248525609573
UKG1,2.177037597447634
UKG2,1.4127743674442172
UKG3,2.4708140591780343
UKH1,3.3558221217244864
UKH2,4.145465926577647
UKH3,3.021252193674445
UKI3,2.7833333025376
UKI4,2.6667566910386085
UKI5,2.8656999468803406
UKI6,2.683087059855461
UKI7,3.1290862942735354
UKJ1,3.1148665964603426
UKJ2,2.68149341493845
UKJ3,2.6359349872916935
UKJ4,2.3174976679186026
NO09,1.1882350188059112
NO0A,0.23127254291127125
NO0B,0.0
HR05,3.40868536606431
HR06,3.14447309486568
NO02,0.46055602161213754
NO06,0.16943476009182631
NO07,0.15619346793585767
NO08,1.1342376683528224
