nuts,Spring Days With High Fire Danger (days) (1981 - 2010)
TR83,0.7548418015862505
TR90,0.0010430230138202508
TRA1,0.12502495851367712
TRA2,0.1543680883012712
PL43,0.8126243613660336
PL51,0.35984278557201227
PL52,0.35810436674704155
PL61,0.2919963704422116
PL62,0.25562018795559804
PL63,0.1326771304011345
PL71,0.46358747979005177
PL72,0.2082252151022355
PL81,0.2709272033845385
PL82,0.08405800461769104
PL84,0.41219294372325144
PL91,0.4651341711481412
PL92,0.38788190856575966
PT11,0.9912396401787797
PT15,6.435517303397258
TRB1,1.660307136985163
TRB2,0.32368406457826493
TRC1,8.517049233118692
RS12,1.7368478106955687
RS21,0.2257187643398841
RS22,0.3306756598254045
SE11,0.07259823766847452
SE12,0.15820816724250714
NL33,0.1332714945077896
NL34,0.10009150182207426
NL41,0.25088009871542455
NL42,0.2303647426267465
PL21,0.0423854664588968
UKM6,0.0
TR22,1.5243719985087714
TRC2,12.67201913992564
TRC3,6.66580904101332
UKC1,0.0
UKC2,0.0
UKD1,0.0
UKD3,0.013333409031232198
UKD4,0.006298910081386566
UKD6,0.006018772224585215
UKD7,0.007392915089925131
UKE1,0.015755091110865274
UKE2,0.005437209705511729
UKE3,0.03625644048055013
RO41,1.4331149481236936
RO42,0.3872892557953795
RS11,1.040561167895794
TR41,3.43780026336511
TR42,0.25177804405490556
TR51,6.098625669876735
TR52,7.757321270306905
TR61,1.7486365400254726
TR62,1.691735043625037
TR63,3.211989768842856
TR71,6.601198216279347
TR72,1.7292058942218622
TR81,0.0045971532662709555
UKK1,0.0555938720703125
UKK2,0.019949852178494137
UKK3,0.01169751783212026
UKK4,0.0012752110759417215
UKL1,0.002518187959988912
UKL2,0.004847692946592967
UKM5,0.0
UKM7,0.0
UKM8,0.0
UKM9,0.0
UKN0,0.0
SE21,0.1346851957961917
SE22,0.06107469120373329
SE23,0.05808916389942169
SE31,0.031430048402398825
SE32,0.0034153288851181667
SE33,0.0018563091134031614
SI03,0.03091355487704277
SI04,0.0035743671158949535
SK01,1.2643891602754593
SK02,0.9132934552927812
SK03,0.22294725341101487
SK04,0.2803592225536704
TR10,0.3095744053522746
TR21,1.2341167412698268
UKE4,0.02057387630144755
UKF1,0.029998000462849936
UKF2,0.04333996077378591
UKF3,0.025092050433158875
UKG1,0.03692496021588643
UKG2,0.011945811907450359
UKG3,0.044476018349329634
UKH1,0.0334478377054135
UKH2,0.06444941659768423
UKH3,0.045795827607313794
UKI3,0.08333333333333333
UKI4,0.08333333333333333
UKI5,0.07331130305926005
UKI6,0.05552521745363871
UKI7,0.06666666666666667
UKJ1,0.057462583978970846
UKJ2,0.038742780685424805
UKJ3,0.06460613210995993
UKJ4,0.0137468121945858
NO09,0.009942592742542425
NO0A,0.0
NO0B,0.0
HR05,0.1891296664873759
HR06,0.17611051052808763
NO02,0.00449075186625123
NO06,0.0
NO07,0.0
NO08,0.02859019289414088
