nuts,May Days With High Fire Danger (days) (1981 - 2010)
TR83,0.5004807703817884
TR90,0.00034984247758984566
TRA1,0.10651224311441183
TRA2,0.1038105801679194
PL43,0.7189584704736869
PL51,0.3127959051479896
PL52,0.2683137860770027
PL61,0.22175582914302747
PL62,0.225438976722459
PL63,0.09814487944046656
PL71,0.321537501613299
PL72,0.1460299080858628
PL81,0.2571398535122474
PL82,0.08032769871254762
PL84,0.3571482648762564
PL91,0.3969605142871539
PL92,0.32940613602598506
PT11,0.668287068977952
PT15,3.6775712043046953
TRB1,1.507887294702232
TRB2,0.26102444383626183
TRC1,7.118353847662608
RS12,1.444178262849649
RS21,0.19182412972052892
RS22,0.2691606434683005
SE11,0.07259823766847452
SE12,0.15820816724250714
NL33,0.10660976270834605
NL34,0.06951812033851941
NL41,0.1798009001960357
NL42,0.1792283761004607
PL21,0.027301123303671678
UKM6,0.0
TR22,1.3695666174093881
TRC2,9.799484584728877
TRC3,5.68306503718098
UKC1,0.0
UKC2,0.0
UKD1,0.0
UKD3,0.013333409031232198
UKD4,0.006298910081386566
UKD6,0.006018772224585215
UKD7,0.007392915089925131
UKE1,0.015755091110865274
UKE2,0.005437209705511729
UKE3,0.03625644048055013
RO41,1.0734765303631624
RO42,0.3339128845060865
RS11,0.8770367751518885
TR41,2.43953814158837
TR42,0.197317057599624
TR51,4.478437925875187
TR52,5.390036364893119
TR61,1.4730827543263634
TR62,1.3274137008935214
TR63,2.7940142050385477
TR71,4.626822266976038
TR72,1.2037949965645869
TR81,0.0045971532662709555
UKK1,0.02591535101334254
UKK2,0.0013319107393423716
UKK3,0.01169751783212026
UKK4,0.0
UKL1,0.0
UKL2,0.0
UKM5,0.0
UKM7,0.0
UKM8,0.0
UKM9,0.0
UKN0,0.0
SE21,0.13157506131877503
SE22,0.05936333195616802
SE23,0.05167640065774322
SE31,0.031430048402398825
SE32,0.0034153288851181667
SE33,0.0018563091134031614
SI03,0.03091355487704277
SI04,0.0035743671158949535
SK01,1.1006691781183084
SK02,0.734782787412405
SK03,0.17372135234375793
SK04,0.23014495223760606
TR10,0.28460769578814504
TR21,1.0975822600225607
UKE4,0.02057387630144755
UKF1,0.029998000462849936
UKF2,0.039979184170564015
UKF3,0.021729665249586104
UKG1,0.023802812894185385
UKG2,0.01074850062529246
UKG3,0.03333333333333333
UKH1,0.0108705618729194
UKH2,0.04227658609549204
UKH3,0.016678225497404733
UKI3,0.06666666666666667
UKI4,0.06666666666666667
UKI5,0.05330396095911662
UKI6,0.03330299456914266
UKI7,0.06666666666666667
UKJ1,0.04274357954661052
UKJ2,0.02766158084074656
UKJ3,0.03874767025311788
UKJ4,0.003942873328924179
NO09,0.009942592742542425
NO0A,0.0
NO0B,0.0
HR05,0.1891296664873759
HR06,0.17507369071245193
NO02,0.00449075186625123
NO06,0.0
NO07,0.0
NO08,0.02859019289414088
