nuts,June Days With High Fire Danger (days) ensemble median - RCP4.5 - (2011 - 2040)
UKM8,0.054533627132574716
UKM9,0.03280883089949687
UKN0,0.04035641898711522
SE21,0.8451083596951018
SE22,0.6407919056713581
SE23,0.7813868217170239
SE31,0.33208898385055363
SE32,0.16024431753127524
SE33,0.17910797213747476
SI03,0.22071692235767842
SI04,0.045251797201732794
SK01,1.681659385561943
SK02,1.1625177530261377
SK03,0.2641406392057737
SK04,0.2872874275470773
TR10,4.035101803640525
TR21,6.370446614424387
UKE4,0.12235024819771449
UKF1,0.21672130338847637
UKF2,0.3450297835593422
UKF3,0.20338017096122105
UKG1,0.190430311486125
UKG2,0.12668896516164144
UKG3,0.18528774281342825
UKH1,0.23590466616054376
UKH2,0.38810401906569797
UKH3,0.21388220091660817
UKI3,0.3332433839639028
UKI4,0.2667117436726888
UKI5,0.26189004878203076
UKI6,0.22219237039486567
UKI7,0.36668920268615085
UKJ1,0.3200401699791352
UKJ2,0.29456034551064175
UKJ3,0.2016920340557893
UKJ4,0.15001579572757084
NO09,0.23010508804582058
NO0A,0.09685046112475296
NO0B,0.0
HR05,0.49017295688390733
HR06,0.6088964581489563
NO02,0.1136070906650275
NO06,0.04742000385498007
NO07,0.03937930051470175
NO08,0.25666089421138166
