nuts,May Days With High Fire Danger (days) ensemble median - RCP8.5 - (2071 - 2100)
ITI2,2.411664405121253
ITI3,1.1872332038787694
ITI4,2.1844877359958796
LI00,0.0
FI1D,0.01578487569125942
TR82,2.44103095967036
TR83,2.1658287695967235
TR90,0.4808530371206311
TRA1,2.631797733215185
TRA2,0.9274259713979868
PL43,1.0355075816982067
PL51,0.47660398554916567
PL52,0.37649525644687504
PL61,0.5383802170936878
PL62,0.15393049065740064
PL63,0.35391996793735486
PL71,0.6822065579203459
PL72,0.2693521575285838
PL81,0.20762095256493643
PL82,0.0893947803773559
PL84,0.14680028076355273
PL91,0.2728520671908672
PL92,0.3191616195612229
PT11,4.048501255420538
PT15,13.910057654747597
TRB1,11.946876764297485
TRB2,5.789145439863205
TRC1,20.609073418837326
RS12,3.592875389812084
RS21,0.9204389994534162
RS22,1.7286416017092192
