nuts,Autumn Days With High Fire Danger (days) ensemble median - RCP4.5 - (2011 - 2040)
ITI2,1.8089018765216072
ITI3,1.2587005496025085
ITI4,1.3695873932292064
LI00,0.0
FI1D,0.006697300904973721
TR82,9.247178077697754
TR83,10.43903792699178
TR90,2.7017678365111353
TRA1,13.395003191630046
TRA2,0.8540047585964203
PL43,0.7006918261758983
PL51,0.3457131005823612
PL52,0.41500229947268963
PL61,0.30084615300099055
PL62,0.17967439865072568
PL63,0.23032716348146398
PL71,0.5837455544620752
PL72,0.23441352819403014
PL81,0.17263126131147147
PL82,0.04119754172861576
PL84,0.16882217911382516
PL91,0.15470131908853849
PL92,0.1980030158534646
PT11,8.08318029443423
PT15,27.938089978694915
TRB1,33.52966162363688
TRB2,28.501950120925905
TRC1,44.04577407836914
RS12,2.475821507256478
RS21,0.9806456598142783
RS22,2.0430458980922896
