nuts,October Days With High Fire Danger (days) ensemble median - RCP8.5 - (2041 - 2070)
ITH5,0.15746722407639027
ITI1,0.18225497206052144
ITI2,0.2783677291125059
ITI3,0.10438903619845709
ITI4,0.1630933966487646
LI00,0.0
FI1D,0.0
TR82,3.0766364876180887
TR83,3.5133547046532234
TR90,0.8745841080943744
TRA1,4.032560721039772
TRA2,0.9879662772019704
PL43,0.3380100673685471
PL51,0.1470380276441574
PL52,0.15163900852203369
PL61,0.26022721237192553
PL62,0.08841403092568119
PL63,0.17081737170616787
PL71,0.19851068363835414
PL72,0.05043634002407392
PL81,0.04749807914098104
PL82,0.049849753237018984
PL84,0.05364931225776672
PL91,0.09240761622786522
PL92,0.09289422358075777
PT11,2.8566603382428486
PT15,8.127348461498817
TRB1,11.5937664270401
TRB2,7.208156228065491
TRC1,17.3871031443278
RS12,0.7821145204206308
