nuts,Summer Days With High Fire Danger (days) ensemble median - RCP4.5 - (2041 - 2070)
TR82,28.534901841481528
TR83,34.16642367045085
TR90,4.823380843798319
TRA1,26.96141503651937
TRA2,1.4400864561398825
PL43,5.036571583058685
PL51,2.705843862115095
PL52,2.1527105759829284
PL61,4.7299325060409805
PL62,3.361116436123848
PL63,3.1100035976618527
PL71,4.074034508317709
PL72,2.601602144787709
PL81,3.1028837993896254
PL82,1.1813227320710817
PL84,3.439053992430369
PL91,3.9818199021120866
PL92,4.0054198108613495
PT11,32.490102736155194
PT15,73.15650698343913
TRB1,75.23011601765951
TRB2,65.34272486368815
TRC1,86.58915506998697
RS12,11.79088050822417
RS21,6.811779201154907
RS22,12.730403260389965
SE11,1.555745904147625
SE12,1.707475608944272
NL33,1.4359791159629822
NL34,1.9182324009637037
NL41,2.900494124988715
NL42,2.965901759142677
