nuts,September Days With High Fire Danger (days) (1981 - 2010)
TR82,5.225771059592565
TR83,6.362390142679215
TR90,1.3886832023660343
TRA1,8.583346565564474
TRA2,6.7959109465281164
PL43,0.31502638558546703
PL51,0.16773962331935763
PL52,0.2359731818238894
PL61,0.1311611114690701
PL62,0.05082484483718872
PL63,0.0471698883920908
PL71,0.33580585358043513
PL72,0.14022192110617956
PL81,0.10815962345028916
PL82,0.05738955611983935
PL84,0.1414958025018374
PL91,0.14094522049029667
PL92,0.14309809704621632
PT11,5.431704618036747
PT15,11.089469997088115
TRB1,23.684590180714924
TRB2,19.916239404678343
TRC1,27.326658630371092
RS12,1.4923524125168721
RS21,0.6217301420557002
RS22,1.3011399862977366
SE11,0.014668504272898038
SE12,0.004117036393533151
NL33,0.0
NL34,0.002775258074204127
NL41,0.03925114472707113
