nuts,Summer Days With High Fire Danger (days) (1981 - 2010)
RO32,5.221454143772522
ITH3,1.6181480549275875
ITH4,0.5630855649709702
ITH5,7.571950375040372
ITI1,10.484017789363861
ITI2,20.420927091439566
ITI3,9.853242697318395
ITI4,15.208822623888652
LI00,0.0
FI1D,0.1391870671029513
TR82,17.750352128346762
TR83,21.739607048034667
TR90,1.7314335743586222
TRA1,15.581094948450724
TRA2,12.402194629112879
PL43,4.6863350718592605
PL51,2.2831564845517276
PL52,1.7984802622968952
PL61,2.17845785630246
PL62,0.7891824555272857
PL63,1.1462442057207227
PL71,2.4599665395915506
PL72,1.0965407478312652
PL81,0.9352390876660744
PL82,0.3963717898974816
PL84,0.9682665147197743
PL91,1.4820701867341994
PL92,1.3639428248008092
PT11,20.739894409974415
PT15,42.48512083689372
TRB1,64.67235743204752
TRB2,46.158488273620605
TRC1,82.22350616455078
RS12,9.051656141628822
RS21,4.130543955601752
RS22,6.786028004748126
SE11,0.5244340294351181
SE12,1.0875008531070003
NL33,0.1755087306102117
NL34,0.35321736708283424
NL41,0.599187866722544
NL42,0.5378949284553528
PL21,0.21841840234895546
UKM6,0.0
TR22,45.93861821492513
TRC2,85.82748667399089
TRC3,80.55221252441406
UKC1,0.22880182564258575
UKC2,0.08453408082326254
UKD1,0.0038079872727394106
UKD3,0.10358871767918269
UKD4,0.027158749103546143
UKD6,0.21872828677296638
UKD7,0.07060264348983765
UKE1,0.7909203376621008
UKE2,0.4070525618890921
UKE3,0.9861813180148602
RO41,8.3602169662714
RO42,2.9289544746900598
RS11,8.081985799471537
TR41,39.69307320912679
TR42,11.452027503649393
TR51,56.5687801361084
TR52,66.30156555175782
TR61,48.37481810251872
TR62,36.41310418446859
TR63,62.28792241414388
TR71,66.50245768229166
TR72,49.67380460103353
TR81,4.254468907912572
UKK1,1.014821967482567
UKK2,0.4814701408147812
UKK3,0.1734663790712754
UKK4,0.1459981600443522
UKL1,0.05357263231029113
UKL2,0.16514221324274939
UKM5,0.0
UKM7,0.003811911741892497
UKM8,0.0071297183632850645
UKM9,0.003980535392959912
UKN0,0.0038675375282764433
SE21,1.486083635998269
SE22,1.4182682073364654
SE23,1.0063949851940075
SE31,0.6611817825585604
SE32,0.38355507518475257
SE33,0.2354408338200301
SI03,0.6587916595240434
SI04,0.3677022897948821
SK01,6.396102940787872
SK02,4.756363508601983
SK03,1.0021886583417654
SK04,0.974851926540335
TR10,20.61609874566396
TR21,33.59798323313395
UKE4,0.5744354990621408
UKF1,1.1133461758494376
UKF2,1.763485422730446
UKF3,1.3263992651055256
UKG1,1.1799779862165451
UKG2,0.5593864034861327
UKG3,1.1954550276199976
UKH1,1.0867787757888436
UKH2,1.830028601239125
UKH3,1.127802179257075
UKI3,1.4166666666666667
UKI4,1.4166666666666667
UKI5,1.4326724941531817
UKI6,1.222191893061002
UKI7,1.4442201803127925
UKJ1,1.5411939044793448
UKJ2,1.037587075928847
UKJ3,1.0107178864379724
UKJ4,0.7072045125067234
NO09,0.5062486590817571
NO0A,0.027013057128836712
NO0B,0.0
HR05,3.08124984006087
HR06,2.5963714718818665
NO02,0.33274616496637466
NO06,0.04422230316946904
NO07,0.031001055620921154
NO08,0.5884730291863283
