nuts,June Days With High Fire Danger (days) (1981 - 2010)
ME00,0.01705378753443559
MK00,1.9376069537053506
MT00,1.2250394428769746
NL11,0.02672635664542516
NL12,0.005574437355001767
EL64,9.298430864016215
EL65,9.886889584859212
ES11,0.2674404598151644
ES12,0.0038204903403917948
ES13,0.04150842453042666
ES21,0.13957842476665974
ES22,3.440191900730133
ES23,2.4325446245570976
ES24,8.494186577200889
ES30,10.938386995097002
IE05,0.0
IE06,0.0006473589688539505
IS00,0.006006111887594064
ITC3,0.07026410177350044
FI19,0.2543815522454679
FI1B,0.4185360736524065
FI1C,0.335835336210827
DEA1,0.028947104016939798
DEA2,0.014280242969592412
DEA3,0.09410974271595478
DEA4,0.048062371710936226
DEA5,0.036246392379204434
DEB1,0.05971288240204255
DEB2,0.046392913659413657
DEB3,0.1692293727149566
DEC0,0.10785683989524841
DED2,0.18913029432296752
DED4,0.0464114951590697
DED5,0.23907717218001684
DEE0,0.32963877053310475
DEF0,0.11788494711120924
DEG0,0.031317598496874176
DK01,0.3402633979916573
DK02,0.20428596573571364
DK03,0.235381181165576
DK04,0.29375993063052497
ES41,5.663655620875458
ES42,13.582158682743708
HU23,0.8577203700318933
HU31,1.461159422248602
HU32,1.6462154970814784
HU33,1.5983452781413992
IE04,0.0
EE00,0.17760858703404664
EL30,12.913231054941813
EL41,8.134755754470826
EL43,12.235514036814372
EL51,2.342596520483494
EL52,2.6452564164996146
FI20,0.017623404661814373
FR10,0.22613530978560448
FRB0,0.5529534628614783
FRC1,0.12221211679279805
FRC2,0.12077263096968333
FRD1,0.04852422755211592
FRD2,0.047648362691203754
FRE1,0.011662738025188446
FRE2,0.037827636487782
FRF1,0.11960894092917443
NL13,0.04449768165747325
NL21,0.06282578110694885
NL22,0.05350036198894183
NL23,0.04372100333372752
NL31,0.058333333333333334
NL32,0.011199386169513067
ITG2,6.852520680427551
ITH1,0.0
ITH2,0.0
FRI3,0.849354179079334
FRJ1,3.1743310153484345
FRJ2,0.3393766708051165
FRK1,0.1005687557781736
FRK2,0.5919657168289025
FRL0,3.6781028121709824
FRM0,1.3223101526498795
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,15.962611643473307
TR32,15.236900138854981
TR33,11.87499017715454
HR03,0.36268266184876363
HR02,0.4071593549723426
HU11,1.917338294784228
HU12,1.7998909051219623
HU21,1.1821343539903562
HU22,0.8352840239802997
PT16,6.350299114982287
PT17,5.898264943063259
FRF2,0.10165637967487176
FRF3,0.12006442323327064
FRG0,0.5111383184790611
FRH0,0.1068632012543579
FRI1,0.5036050991155208
FRI2,0.1040308995793263
ITC4,0.5463131331838668
ITF1,0.4171031539638837
ITF2,2.2172270148992537
ITF3,1.4680079316099486
ITF4,7.277918354670207
ITF5,6.942964605490366
ITF6,2.43124038875103
ITG1,7.544999476273855
LT01,0.04414747891326745
LT02,0.16425565599153438
LU00,0.038600113987922666
PL22,0.0965006393690904
PL41,1.1934521524856487
PL42,0.7555076211070021
PT18,14.291731969515483
PT20,0.0
PT30,0.30626069257656735
RO11,0.2175014128908515
RO12,0.02089562639594078
RO21,0.6298444438415269
RO22,1.7719038798784217
RO31,1.0379552111029624
RO32,0.6173097829023997
ITH3,0.2346940909822782
ITH4,0.017317993193864824
ITH5,1.2346215639884273
ITI1,1.005166288341085
ITI2,1.9310168837507566
ITI3,1.0010737505430976
ITI4,1.1908009606723984
LI00,0.0
FI1D,0.09951716968013595
TR82,1.8186530373990535
TR83,1.912258660296599
TR90,0.028387468308210373
TRA1,1.5342161734898885
TRA2,1.500930034959068
PL43,1.4434023666506013
PL51,0.541127045545727
PL52,0.31528247880438964
PL61,0.7008233137428761
PL62,0.19590066373348236
PL63,0.5260385449975729
PL71,0.49656731678793825
PL72,0.0824046770731608
PL81,0.0870436541736126
PL82,0.013672306636969249
PL84,0.09962203875184059
PL91,0.1698089232047399
PL92,0.17053399048745632
PT11,3.029259005623559
PT15,9.605407722791035
TRB1,12.396975779533387
TRB2,6.324452692270279
TRC1,21.871776326497397
RS12,1.603304412215948
RS21,0.323870489684244
RS22,0.5984892809142669
