nuts,September Days With High Fire Danger (days) ensemble median - RCP4.5 - (2041 - 2070)
ITI4,2.4151901060094434
LI00,0.0
FI1D,0.01250689746423935
TR82,8.036293657620748
TR83,7.846958335240682
TR90,3.0057939797639848
TRA1,14.759027099609375
TRA2,0.6865528523921967
PL43,0.37461673465246953
PL51,0.38010310344398024
PL52,0.3644258710245291
PL61,0.374502265950044
PL62,0.1570238236958782
PL63,0.08807756534467141
PL71,0.7238281289115548
PL72,0.2975825369668504
PL81,0.29596373861034714
PL82,0.08729349834223589
PL84,0.3296648799752196
PL91,0.2677533355851968
PL92,0.29393652230501177
PT11,9.320326467355093
PT15,18.784148995081583
TRB1,26.81111806233724
TRB2,25.13216667175293
TRC1,28.59871908823649
RS12,1.7578372401495774
RS21,0.9112817728271086
RS22,1.7944572714467844
SE11,0.014990418404340743
SE12,0.009987731014067929
