nuts,Autumn Days With High Fire Danger (days) (1981 - 2010)
TR82,7.263093002637228
TR83,8.967665334542593
TR90,1.6893951599796613
TRA1,10.482458901405334
TRA2,8.027584026257196
PL43,0.35613485872745515
PL51,0.19429633322482306
PL52,0.2476603604853153
PL61,0.13411578151086967
PL62,0.05082484483718872
PL63,0.0471698883920908
PL71,0.34555336671570935
PL72,0.14461854249238967
PL81,0.10815962345028916
PL82,0.05738955611983935
PL84,0.1414958025018374
PL91,0.14094522049029667
PL92,0.14309809704621632
PT11,6.386120627820492
PT15,15.050298388799032
TRB1,32.27219537099202
TRB2,24.958002058664956
TRC1,43.28077767690023
RS12,1.895308323080341
RS21,0.6823538822121918
RS22,1.439889961015433
SE11,0.014668504272898038
SE12,0.004117036393533151
NL33,0.0
NL34,0.008340971420208614
NL41,0.03925114472707113
NL42,0.07446044385433197
