nuts,Annual Days With High Fire Danger (days) (1981 - 2010)
FI1D,0.13979695498710498
TR82,25.91781956354777
TR83,31.462114493052166
TR90,3.421871715784073
TRA1,26.18926855723063
TRA2,20.58414647181829
PL43,5.855094258114695
PL51,2.8372955918312073
PL52,2.4042449813957014
PL61,2.6045700033505756
PL62,1.095627484160165
PL63,1.326091233578821
PL71,3.2691073761011165
PL72,1.449384530261159
PL81,1.3143259045978388
PL82,0.5378193552295367
PL84,1.5219552591443062
PL91,2.088149580856164
PL92,1.89492283652847
PT11,28.117254638671874
PT15,64.390784962972
TRB1,98.63119099934896
TRB2,71.46963831583659
TRC1,134.23936208089194
RS12,12.683812290430069
RS21,5.038616607027749
RS22,8.556593480706216
SE11,0.6117007744808992
SE12,1.2498260207319012
NL33,0.30878022412459055
NL34,0.46164984032511713
NL41,0.8893191121518612
