nuts,August Days With High Fire Danger (days) (1981 - 2010)
ITI3,4.507439768066009
ITI4,7.2440125226974486
LI00,0.0
FI1D,0.023338347968334953
TR82,9.779998230934144
TR83,11.685255416234334
TR90,1.2037939816713332
TRA1,8.47972473303477
TRA2,6.652204293012619
PL43,1.5630073706309
PL51,0.9032031409752865
PL52,0.8016341445346673
PL61,0.6236129177113374
PL62,0.18680905643850565
PL63,0.20763524205734332
PL71,0.951917697985967
PL72,0.48233034952233234
PL81,0.3210840673496326
PL82,0.17666109229127566
PL84,0.4112755939985315
PL91,0.3544056703646978
PL92,0.4111035043994586
PT11,9.951117384433747
PT15,16.431499004364014
TRB1,27.25069548288981
TRB2,22.531892093022666
TRC1,30.400315856933595
RS12,4.232162871956826
RS21,2.26212140408655
RS22,3.5286174210098884
SE11,0.05220652793844541
