nuts,Spring Days With High Fire Danger (days) ensemble median - RCP8.5 - (2011 - 2040)
PT16,4.642612068727613
PT17,6.854253475864728
FRF2,0.19074411606416106
FRF3,0.17415328916783135
FRG0,0.2625339070955912
FRH0,0.10665409055848916
FRI1,0.33758195154368875
FRI2,0.19549865368753672
ITC4,0.3718177303671837
ITF1,0.15585100085784992
ITF2,1.1006157236794631
ITF3,0.7386859897524118
ITF4,5.597501033544541
ITF5,3.1182576340312758
ITF6,0.7829604528223475
ITG1,8.4478135963281
LT01,0.0700152350589633
LT02,0.14081943494578203
LU00,0.11835968345403672
PL22,0.31526201410839955
PL41,0.8904283621348441
PL42,0.4238195481399695
PT18,10.441126922766367
PT20,0.0
PT30,0.0
RO11,0.3854175618228813
RO12,0.11404558749248585
RO21,1.1048129913707574
RO22,2.800243455792467
RO31,2.189084498708447
RO32,2.230062264204025
ITH3,0.2025602271469931
ITH4,0.024370623131593067
ITH5,0.6924270197438697
ITI1,0.37429929540182155
ITI2,0.7598874157915513
ITI3,0.3021868251884977
ITI4,0.5093484181910753
LI00,0.0
FI1D,0.021595615451224147
TR82,1.5851887519781789
TR83,1.4211265267183384
TR90,0.032234080415219066
TRA1,0.4654431976688405
TRA2,0.050235575437545775
PL43,0.8376582636187474
PL51,0.4422418930878242
PL52,0.4269018332163493
PL61,0.4548769303907951
PL62,0.24506069955726464
PL63,0.18312257938086987
PL71,0.5739194610466559
PL72,0.38225083670889337
PL81,0.3101788508395354
PL82,0.15129156345501543
PL84,0.2922241386026144
PL91,0.5509718274076779
PL92,0.4107485764504721
PT11,1.4448456892122825
PT15,14.25330709517002
TRB1,4.2613682751854265
TRB2,0.7501165196299553
TRC1,13.836592864990234
RS12,2.3589768474300703
RS21,0.38000137489289043
RS22,0.5985362268673877
SE11,0.17348166157801945
SE12,0.17858323287218808
NL33,0.23331494679053624
NL34,0.3146634615957737
NL41,0.3347718149423599
NL42,0.3063183999309937
PL21,0.1172469303322335
UKM6,0.01447389175494512
TR22,3.7112300091112655
TRC2,17.67907114426295
TRC3,19.53570658961932
UKC1,0.054885511348644896
UKC2,0.06771366335451603
UKD1,0.047798812141021094
UKD3,0.11334108511606852
UKD4,0.04925222968061765
UKD6,0.08812847832838694
UKD7,0.04001927077770233
UKE1,0.20034809956947963
UKE2,0.10777086205780506
UKE3,0.21993432914217312
RO41,1.3307008860477556
RO42,0.7003903320680062
RS11,1.7613636277616025
TR41,5.71236252784729
TR42,0.5436272764578461
TR51,9.009394580125809
TR52,13.512501414616903
TR61,5.029612038160364
TR62,3.7152419865131376
TR63,7.1245683868726095
TR71,10.949770027399063
TR72,3.4098347898572685
TR81,0.11491381662587324
UKK1,0.1965507662544648
UKK2,0.06406297621627649
UKK3,0.07579413230220476
UKK4,0.04270840299626191
UKL1,0.05963929401089748
UKL2,0.06550013093898693
UKM5,0.025371153155962625
UKM7,0.03360488389929136
UKM8,0.042216533422470094
UKM9,0.05101102292537689
UKN0,0.0390018895889322
SE21,0.39687920884850125
SE22,0.20938457207133374
SE23,0.2234549440909177
SE31,0.17028316374247274
SE32,0.1357829396147281
SE33,0.0811273423411573
SI03,0.0967523043975234
SI04,0.011858837430675824
SK01,1.126633426050345
SK02,0.7286061143192152
SK03,0.12008433565497398
SK04,0.2996938773430884
TR10,1.0986586920917034
TR21,2.56539332109193
UKE4,0.13339840173721312
UKF1,0.2175332793345054
UKF2,0.29545130984236795
UKF3,0.348113339394331
UKG1,0.17218174388011295
UKG2,0.0928064459313949
UKG3,0.17415243188540142
UKH1,0.23572790753096343
UKH2,0.29301689714193346
UKH3,0.1928432279576858
UKI3,0.308344570795695
UKI4,0.23340092301368714
UKI5,0.2238444874684016
UKI6,0.3333333308498065
UKI7,0.28340660134951273
UKJ1,0.345129815240701
UKJ2,0.2730546416093906
UKJ3,0.2266124519209067
UKJ4,0.22612985322872797
NO09,0.10962523445487023
NO0A,0.015675950058115024
NO0B,0.0
HR05,0.23004794294635456
HR06,0.34216142650693654
NO02,0.10054592218560478
NO06,0.015429465534786383
NO07,0.008181102038361133
NO08,0.11320651234127581
