nuts,August Days With High Fire Danger (days) ensemble median - RCP8.5 - (2071 - 2100)
TR82,16.087917988116924
TR83,17.94287006671612
TR90,5.610606505320622
TRA1,17.273336777320274
TRA2,7.960406262141007
PL43,3.5705599051255446
PL51,2.748876962524194
PL52,2.8336764791837106
PL61,1.6546997430089574
PL62,1.4145857236849575
PL63,1.3660828422468443
PL71,2.918087044587502
PL72,2.218970798672392
PL81,1.9697051760382378
PL82,1.2381338975750482
PL84,2.1561820707642116
PL91,1.6898046021278088
PL92,1.8377225121053367
PT11,19.173273196587196
PT15,27.498701389019306
TRB1,29.790273959820087
TRB2,29.952379520122822
TRC1,30.859045615563026
RS12,7.160406241050134
RS21,5.035926714396248
RS22,7.55557656288147
SE11,0.4383719884432279
SE12,0.7567328587174416
NL33,0.5538348395090836
NL34,0.9489555954933167
NL41,1.5868942393706396
