"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Costa Rica","CRI","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.09690046437692","","","","","","","","","","2.01240638570678","","","","","","","","","","","","","","","2.00237495832442","","","","","","","","",
"Caribbean small states","CSS","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9004357156082","","","","","","","","","","21.5314923361729","","","","","","","","","","","","","","","21.2780722359107","","","","","","","","",
"Cuba","CUB","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.48437227099767","","","","","","","","","","2.43329641957365","","","","","","","","","","","","","","","2.50495003993379","","","","","","","","",
"Curacao","CUW","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.24624456850387","","","","","","","","","","1.99583849608097","","","","","","","","","","","","","","","1.68014514768167","","","","","","","","",
"Cayman Islands","CYM","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.0878476714461","","","","","","","","","","19.2997656397508","","","","","","","","","","","","","","","17.6167014674732","","","","","","","","",
"Cyprus","CYP","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.28556753363337","","","","","","","","","","4.19935513120277","","","","","","","","","","","","","","","4.0447415899797","","","","","","","","",
"Czechia","CZE","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","",
"Germany","DEU","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.93694200542933","","","","","","","","","","1.96366041355455","","","","","","","","","","","","","","","1.99002924234282","","","","","","","","",
"Djibouti","DJI","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.60658680685964","","","","","","","","","","9.88277054949452","","","","","","","","","","","","","","","11.0745910622314","","","","","","","","",
"Dominica","DMA","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0527822701687","","","","","","","","","","12.2454853140177","","","","","","","","","","","","","","","12.8568467497055","","","","","","","","",
"Denmark","DNK","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7043198733252","","","","","","","","","","12.6130537011972","","","","","","","","","","","","","","","12.5703443745095","","","","","","","","",
"Dominican Republic","DOM","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.51430669043329","","","","","","","","","","1.66556991044009","","","","","","","","","","","","","","","1.84398033192546","","","","","","","","",
"Algeria","DZA","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.55250292225382","","","","","","","","","","1.38233673316459","","","","","","","","","","","","","","","1.2456681044134","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.92846652015734","","","","","","","","","","6.47206746104306","","","","","","","","","","","","","","","7.31696018019732","","","","","","","","",
"Early-demographic dividend","EAR","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.45035869973743","","","","","","","","","","3.41216395390475","","","","","","","","","","","","","","","3.37015827079742","","","","","","","","",
"East Asia & Pacific","EAS","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.25491289257832","","","","","","","","","","6.69330817664892","","","","","","","","","","","","","","","7.39459694170581","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.11249561060357","","","","","","","","","","1.12826511762809","","","","","","","","","","","","","","","1.13889853962201","","","","","","","","",
"Europe & Central Asia","ECS","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.84951576952674","","","","","","","","","","2.92147020372757","","","","","","","","","","","","","","","2.9921371263678","","","","","","","","",
"Ecuador","ECU","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.41001847978011","","","","","","","","","","7.34969220191433","","","","","","","","","","","","","","","7.21542013422516","","","","","","","","",
"Egypt, Arab Rep.","EGY","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.600975738531","","","","","","","","","","16.1327520479468","","","","","","","","","","","","","","","16.3449056045818","","","","","","","","",
"Euro area","EMU","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.11641804074152","","","","","","","","","","5.2568578193676","","","","","","","","","","","","","","","5.38694033617098","","","","","","","","",
"Eritrea","ERI","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3455633225531","","","","","","","","","","16.1011681252754","","","","","","","","","","","","","","","15.4855376134058","","","","","","","","",
