nuts,Winter Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
ITH5,232.46288
ITI1,254.06538
ITI2,246.1404
ITI3,213.21872
ITI4,280.4272
LI00,402.56204
FI1D,151.35126
TR82,253.42436
TR83,226.45757
TR90,323.92303
TRA1,180.756
TRA2,6.826557
PL43,176.69084
PL51,191.3773
PL52,173.14955
PL61,162.70876
PL62,181.67546
PL63,184.61086
PL71,167.64888
PL72,167.52492
PL81,171.82607
PL82,192.71494
PL84,172.17145
PL91,172.4701
PL92,170.1399
PT11,352.05502
PT15,145.50853
TRB1,300.26187
TRB2,21.015007
TRC1,261.21912
RS12,172.20406
RS21,219.14809
RS22,190.84337
SE11,158.40807
SE12,157.61044
NL33,246.16055
NL34,229.25351
NL41,240.25891
NL42,254.21956
PL21,200.14487
UKM6,470.578
TR22,282.51364
TRC2,240.10648
TRC3,47.69734
UKC1,245.4989
UKC2,243.45007
UKD1,390.69873
UKD3,297.1856
UKD4,363.36185
UKD6,245.57465
UKD7,295.23016
UKE1,197.45032
UKE2,255.25618
UKE3,209.57832
RO41,174.52657
RO42,204.36821
RS11,181.08258
TR41,210.49754
TR42,276.3158
TR51,159.88173
TR52,162.19247
TR61,277.25638
TR62,264.20392
TR63,266.88065
TR71,158.82742
TR72,195.99268
TR81,315.02954
UKK1,221.89357
UKK2,259.32855
UKK3,313.41055
UKK4,288.50107
UKL1,370.46436
UKL2,298.84906
UKM5,263.84793
UKM7,356.27463
UKM8,447.91556
UKM9,379.0495
UKN0,312.7167
SE21,179.8103
SE22,204.12471
SE23,235.30615
SE31,178.30962
SE32,201.51454
SE33,195.9007
SI03,250.01729
SI04,318.00577
SK01,151.46112
SK02,181.83559
SK03,207.31273
SK04,180.80072
TR10,265.27124
TR21,224.3381
UKE4,255.24918
UKF1,201.65465
UKF2,178.89249
UKF3,177.33937
UKG1,204.31561
UKG2,223.79332
UKG3,199.01819
UKH1,190.2894
UKH2,180.0884
UKH3,196.41312
UKI3,192.52301
UKI4,192.52301
UKI5,188.12378
UKI6,202.87369
UKI7,191.31874
UKJ1,193.17656
UKJ2,248.93976
UKJ3,240.66565
UKJ4,224.32649
NO09,425.7615
NO0A,657.61536
NO0B,211.21448
HR05,219.36258
HR06,214.79187
NO02,226.64638
NO06,391.36896
NO07,314.34247
NO08,260.8213
