nuts,May Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
PT30,0.0
RO11,103.26573
RO12,116.90479
RO21,85.56422
RO22,62.667904
RO31,79.67478
RO32,67.35341
ITH3,125.50507
ITH4,151.83833
ITH5,83.84883
ITI1,72.010254
ITI2,79.12132
ITI3,77.70786
ITI4,70.375145
LI00,205.11798
FI1D,60.905167
TR82,81.13607
TR83,81.74457
TR90,131.45541
TRA1,89.0541
TRA2,3.440418
PL43,60.517548
PL51,72.66982
PL52,77.72142
PL61,62.592415
PL62,69.783554
PL63,60.77377
PL71,72.14216
PL72,78.64001
PL81,81.98575
PL82,103.02722
PL84,70.06134
PL91,69.08472
PL92,70.81636
PT11,75.912704
PT15,27.43491
TRB1,83.59675
TRB2,5.9271703
TRC1,42.329876
RS12,71.26707
RS21,96.86373
RS22,84.47403
SE11,42.00281
SE12,56.440617
NL33,63.526318
NL34,67.40088
NL41,71.60943
NL42,72.757545
PL21,105.15749
UKM6,86.35535
TR22,38.86755
TRC2,38.218594
TRC3,7.182367
UKC1,62.75299
UKC2,63.42158
UKD1,85.284485
UKD3,77.930595
UKD4,81.14246
UKD6,69.91894
UKD7,69.67147
UKE1,58.28905
UKE2,68.32735
UKE3,64.10279
RO41,93.56711
RO42,97.34586
RS11,79.23002
TR41,51.028385
TR42,66.70659
TR51,48.75911
TR52,48.8138
TR61,52.560253
TR62,69.23296
TR63,55.457607
TR71,56.69861
TR72,78.056595
TR81,78.60798
UKK1,69.09809
UKK2,66.30784
UKK3,71.39678
UKK4,70.213005
UKL1,84.973335
UKL2,82.602745
UKM5,74.143524
UKM7,84.1681
UKM8,93.56666
UKM9,84.999855
UKN0,87.69078
SE21,57.0412
SE22,59.545506
SE23,69.211716
SE31,69.16381
SE32,70.24742
SE33,62.198227
SI03,114.27485
SI04,128.11743
SK01,72.84462
SK02,79.77841
SK03,102.97669
SK04,98.07188
TR10,34.315117
TR21,43.993755
UKE4,70.354095
UKF1,63.180428
UKF2,60.248493
UKF3,60.889286
UKG1,67.58136
UKG2,68.309525
UKG3,65.11058
UKH1,55.702423
UKH2,57.79301
UKH3,54.610554
UKI3,60.806637
UKI4,60.806637
UKI5,57.625904
UKI6,59.683277
UKI7,58.954464
UKJ1,61.764927
UKJ2,55.889065
UKJ3,58.024403
UKJ4,56.722263
NO09,95.91878
NO0A,117.541084
NO0B,33.000168
HR05,91.09576
HR06,92.963524
NO02,88.74897
NO06,90.30965
NO07,81.18431
NO08,84.362816
