nuts,June Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
ITH5,72.836105
ITI1,50.918114
ITI2,54.804394
ITI3,68.74245
ITI4,45.45983
LI00,236.54102
FI1D,81.784584
TR82,66.66398
TR83,53.517822
TR90,105.913994
TRA1,52.78574
TRA2,2.7269843
PL43,80.485695
PL51,91.23314
PL52,90.450905
PL61,78.44829
PL62,84.6419
PL63,80.796455
PL71,87.40151
PL72,91.11372
PL81,89.47068
PL82,111.62684
PL84,85.57515
PL91,81.72483
PL92,84.20007
PT11,38.889496
PT15,7.5794835
TRB1,25.055021
TRB2,1.780428
TRC1,9.156128
RS12,75.02998
RS21,97.78506
RS22,79.79034
SE11,69.73625
SE12,79.67603
NL33,77.99991
NL34,69.23128
NL41,83.484116
NL42,84.4168
PL21,113.63106
UKM6,88.97307
TR22,27.685822
TRC2,6.9329076
TRC3,1.1823405
UKC1,77.19431
UKC2,73.850876
UKD1,89.04124
UKD3,84.87984
UKD4,91.177055
UKD6,75.67803
UKD7,80.9286
UKE1,65.39729
UKE2,74.32425
UKE3,75.41604
RO41,90.98877
RO42,105.076614
RS11,85.65293
TR41,38.29178
TR42,61.885685
TR51,30.287518
TR52,21.996496
TR61,20.525623
TR62,30.669888
TR63,16.495148
TR71,27.098211
TR72,36.893677
TR81,77.42089
UKK1,61.83828
UKK2,62.974117
UKK3,70.61316
UKK4,70.06501
UKL1,85.29607
UKL2,79.785126
UKM5,74.36283
UKM7,86.138084
UKM8,93.58053
UKM9,87.676155
UKN0,83.91837
SE21,78.07739
SE22,81.57312
SE23,94.06871
SE31,94.82589
SE32,94.42324
SE33,89.318924
SI03,118.163895
SI04,130.65358
SK01,82.05517
SK02,82.0424
SK03,108.225
SK04,100.30867
TR10,35.167664
TR21,39.4125
UKE4,78.41875
UKF1,72.235855
UKF2,61.84334
UKF3,65.434494
UKG1,66.893875
UKG2,73.2037
UKG3,71.668144
UKH1,57.09081
UKH2,58.507935
UKH3,59.761383
UKI3,57.31517
UKI4,57.31517
UKI5,56.99666
UKI6,61.903778
UKI7,57.694214
UKJ1,58.69408
UKJ2,56.30641
UKJ3,58.684486
UKJ4,58.769836
NO09,111.23361
NO0A,125.162544
NO0B,23.348118
HR05,93.30563
HR06,96.648926
NO02,113.19818
NO06,118.65506
NO07,103.7776
NO08,108.94659
