nuts,December Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
NL32,103.363914
ITG2,64.30503
ITH1,72.50606
ITH2,69.7062
FRI3,87.674484
FRJ1,70.26285
FRJ2,82.95913
FRK1,84.51688
FRK2,108.695114
FRL0,73.19595
FRM0,83.95877
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,122.51742
TR32,118.2209
TR33,64.500626
HR03,131.00743
HR02,76.96937
HU11,47.79401
HU12,48.205387
HU21,51.665092
HU22,51.49194
PT16,112.52534
PT17,81.65325
FRF2,100.447266
FRF3,109.32559
FRG0,86.62794
FRH0,103.381615
FRI1,89.20829
FRI2,96.30434
ITC4,63.774494
ITF1,87.59642
ITF2,83.842415
ITF3,111.06479
ITF4,68.146866
ITF5,72.09712
ITF6,108.60437
ITG1,77.40757
LT01,68.74376
LT02,66.392426
LU00,100.419876
PL22,65.454445
PL41,62.672813
PL42,70.0449
PT18,70.46634
PT20,0.0
PT30,0.0
RO11,73.56335
RO12,57.57865
RO21,44.155533
RO22,43.56455
RO31,49.2608
RO32,47.048904
ITH3,69.949455
ITH4,103.464066
ITH5,77.032
ITI1,88.04482
ITI2,82.18416
ITI3,76.86654
ITI4,96.37961
LI00,125.9954
FI1D,52.68288
TR82,96.92844
TR83,80.398964
TR90,120.902214
TRA1,63.113785
TRA2,2.5466487
PL43,66.23183
PL51,66.93157
PL52,60.167408
PL61,61.035305
PL62,65.52346
PL63,65.945435
PL71,60.17052
PL72,54.40227
PL81,55.767914
PL82,66.12323
PL84,61.20154
PL91,63.367157
PL92,61.327656
PT11,143.9157
PT15,65.43314
TRB1,106.50344
TRB2,7.222913
TRC1,96.71167
RS12,56.351322
RS21,72.9375
RS22,63.43708
SE11,61.920925
SE12,55.889877
NL33,92.78434
NL34,85.44488
NL41,84.72502
NL42,89.380974
PL21,63.199574
UKM6,159.94106
TR22,100.44952
TRC2,85.9758
TRC3,18.584352
UKC1,88.22299
UKC2,85.76664
UKD1,139.60617
UKD3,107.5066
UKD4,132.38835
UKD6,90.1627
UKD7,111.94863
UKE1,67.47648
UKE2,92.91373
UKE3,76.26084
RO41,57.326267
RO42,67.47514
RS11,55.322777
TR41,72.489815
TR42,104.85872
TR51,56.014324
TR52,60.94945
TR61,113.226654
TR62,111.07283
TR63,98.62552
TR71,59.366917
TR72,63.777786
TR81,120.579666
UKK1,80.54698
UKK2,92.1881
UKK3,112.95683
UKK4,104.53142
UKL1,133.1265
UKL2,105.5383
UKM5,88.88716
UKM7,113.68503
UKM8,150.27968
UKM9,125.91744
UKN0,109.97885
SE21,64.04322
SE22,68.626945
SE23,72.393105
SE31,59.09482
SE32,69.01423
SE33,68.05267
SI03,84.315346
SI04,105.244675
SK01,48.347984
SK02,51.93859
SK03,61.279343
SK04,57.596306
TR10,101.16533
TR21,80.22797
UKE4,90.42741
UKF1,74.55333
UKF2,62.260105
UKF3,61.74025
UKG1,72.35198
UKG2,81.052376
UKG3,71.19793
UKH1,67.156624
UKH2,62.8457
UKH3,67.99978
UKI3,64.63808
UKI4,64.63808
UKI5,63.20853
UKI6,68.11148
UKI7,64.151474
UKJ1,66.97832
UKJ2,87.91332
UKJ3,85.18598
UKJ4,78.17148
NO09,136.98065
NO0A,227.33157
NO0B,74.60346
HR05,73.303505
HR06,70.38872
NO02,80.05844
NO06,143.51398
NO07,120.07127
NO08,86.002045
