nuts,Summer Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
ES41,98.499954
ES42,57.921658
HU23,207.54663
HU31,216.58463
HU32,211.63228
HU33,189.42947
IE04,302.12482
EE00,262.8333
EL30,14.779423
EL41,10.652523
EL43,8.902192
EL51,115.398735
EL52,109.37319
FI20,178.42543
FR10,189.52405
FRB0,176.85373
FRC1,224.86618
FRC2,324.7576
FRD1,189.39685
FRD2,201.76102
FRE1,206.07892
FRE2,205.19032
FRF1,282.42264
NL13,261.6188
NL21,249.93016
NL22,247.21367
NL23,254.91846
NL31,248.56717
NL32,245.74706
ITG2,35.004818
ITH1,464.94983
ITH2,479.25497
FRI3,166.46262
FRJ1,181.38768
FRJ2,249.45499
FRK1,237.93526
FRK2,297.36758
FRL0,162.14754
FRM0,73.965324
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,21.74884
TR32,26.312826
TR33,52.968517
HR03,189.09088
HR02,238.0293
HU11,188.99434
HU12,196.35202
HU21,198.96922
HU22,225.95009
PT16,51.225716
PT17,21.934116
FRF2,226.28615
FRF3,248.30457
FRG0,153.97192
FRH0,160.93329
FRI1,209.95122
FRI2,230.57642
ITC4,346.3726
ITF1,169.24922
ITF2,133.44122
ITF3,92.06983
ITF4,68.55532
ITF5,84.60171
ITF6,75.79334
ITG1,33.039856
LT01,273.9
LT02,269.19226
LU00,246.15761
PL22,303.3605
PL41,241.7215
PL42,253.0424
PT18,24.851877
PT20,0.0
PT30,0.0
RO11,315.95947
RO12,361.2868
RO21,303.02853
RO22,193.84679
RO31,255.61128
RO32,233.09198
ITH3,364.50778
ITH4,432.97842
ITH5,200.04338
ITI1,142.54532
ITI2,147.35788
ITI3,164.27426
ITI4,126.37129
LI00,675.86206
FI1D,263.89328
TR82,137.89845
TR83,110.4622
TR90,299.76007
TRA1,112.21382
TRA2,6.53758
PL43,237.03629
PL51,274.42505
PL52,279.93427
PL61,245.74149
PL62,271.74564
PL63,271.3448
PL71,252.73544
PL72,271.5043
PL81,270.70343
PL82,313.24283
PL84,265.88867
PL91,251.66185
PL92,254.63103
PT11,88.95609
PT15,14.015361
TRB1,45.122433
TRB2,3.0341103
TRC1,17.891727
RS12,190.40132
RS21,235.84903
RS22,191.92912
SE11,208.90077
SE12,246.92113
NL33,238.56497
NL34,227.6806
NL41,242.49673
NL42,243.42628
PL21,339.8458
UKM6,306.93863
TR22,54.03546
TRC2,11.600888
TRC3,2.149635
UKC1,230.03043
UKC2,235.73163
UKD1,298.22778
UKD3,274.44604
UKD4,295.55463
UKD6,243.26161
UKD7,268.78372
UKE1,208.72878
UKE2,238.13564
UKE3,221.92462
RO41,251.29857
RO42,274.26633
RS11,193.28842
TR41,79.2352
TR42,139.12129
TR51,62.931477
TR52,40.98144
TR61,45.929943
TR62,67.07926
TR63,38.31472
TR71,47.3029
TR72,64.73981
TR81,179.28195
UKK1,199.13051
UKK2,203.33885
UKK3,209.92953
UKK4,216.69086
UKL1,263.3561
UKL2,245.23802
UKM5,240.83463
UKM7,278.21738
UKM8,319.51688
UKM9,283.30487
UKN0,276.75793
SE21,247.93347
SE22,251.9028
SE23,304.03442
SE31,285.41406
SE32,296.8658
SE33,287.06244
SI03,334.1427
SI04,378.17862
SK01,221.63058
SK02,235.81189
SK03,299.0022
SK04,289.2091
TR10,97.67605
TR21,90.78515
UKE4,241.43121
UKF1,218.81271
UKF2,198.26805
UKF3,208.38571
UKG1,198.41954
UKG2,219.43478
UKG3,206.62094
UKH1,199.7398
UKH2,191.44925
UKH3,188.15622
UKI3,190.55641
UKI4,190.55641
UKI5,189.71913
UKI6,192.92082
UKI7,189.66194
UKJ1,194.26988
UKJ2,184.22554
UKJ3,187.15417
UKJ4,187.2776
NO09,346.5784
NO0A,445.79
NO0B,90.73835
HR05,248.54826
HR06,256.86877
NO02,346.4848
NO06,367.46228
NO07,304.32855
NO08,331.42722
