nuts,February Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
PL42,47.290936
PT18,54.160385
PT20,0.0
PT30,0.0
RO11,57.807796
RO12,47.080975
RO21,38.917507
RO22,37.771324
RO31,41.465057
RO32,36.3017
ITH3,64.64736
ITH4,85.440796
ITH5,68.21003
ITI1,72.726555
ITI2,74.1294
ITI3,72.95309
ITI4,88.32886
LI00,118.77769
FI1D,36.861675
TR82,73.130226
TR83,64.29755
TR90,89.373535
TRA1,54.81231
TRA2,1.7733397
PL43,45.493984
PL51,50.687435
PL52,44.071632
PL61,40.251873
PL62,45.305046
PL63,45.84687
PL71,42.117893
PL72,42.158333
PL81,45.11583
PL82,54.106407
PL84,44.166065
PL91,43.370583
PL92,42.78372
PT11,93.24201
PT15,52.362904
TRB1,93.5716
TRB2,7.002239
TRC1,87.220695
RS12,50.926285
RS21,63.52628
RS22,55.161835
SE11,38.13935
SE12,37.8466
NL33,58.081894
NL34,55.628918
NL41,59.818085
NL42,65.17927
PL21,53.442993
UKM6,121.711784
TR22,82.900475
TRC2,83.013504
TRC3,18.224085
UKC1,62.627113
UKC2,61.97378
UKD1,96.61489
UKD3,78.30249
UKD4,90.737595
UKD6,63.278908
UKD7,70.04539
UKE1,48.9205
UKE2,66.073364
UKE3,54.650455
RO41,50.40413
RO42,61.713654
RS11,53.26881
TR41,63.288784
TR42,81.91718
TR51,48.747097
TR52,52.76229
TR61,94.24479
TR62,92.76517
TR63,94.19841
TR71,49.184093
TR72,58.67851
TR81,91.526764
UKK1,54.450268
UKK2,64.5213
UKK3,82.07335
UKK4,73.045654
UKL1,92.19623
UKL2,77.29043
UKM5,69.22793
UKM7,90.02287
UKM8,116.26542
UKM9,93.154144
UKN0,79.19918
SE21,43.01128
SE22,47.576107
SE23,50.67144
SE31,41.300556
SE32,47.085136
SE33,48.569733
SI03,71.805016
SI04,86.468834
SK01,44.721096
SK02,48.98115
SK03,57.565224
SK04,52.06586
TR10,72.015724
TR21,68.83027
UKE4,67.693924
UKF1,54.53972
UKF2,45.317673
UKF3,44.731407
UKG1,51.868935
UKG2,59.02198
UKG3,51.90213
UKH1,46.91069
UKH2,45.6579
UKH3,47.90726
UKI3,46.94611
UKI4,46.94611
UKI5,46.001698
UKI6,48.88915
UKI7,46.93851
UKJ1,48.65176
UKJ2,56.697243
UKJ3,58.046577
UKJ4,53.78606
NO09,96.644875
NO0A,165.75124
NO0B,57.667305
HR05,62.981888
HR06,59.546486
NO02,52.891438
NO06,106.365105
NO07,89.65309
NO08,59.011208
