nuts,Spring Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
TR42,240.75945
TR51,165.12302
TR52,150.41321
TR61,188.5849
TR62,238.48027
TR63,225.61972
TR71,177.86693
TR72,239.57487
TR81,273.4353
UKK1,200.76259
UKK2,201.80426
UKK3,220.9056
UKK4,216.12564
UKL1,266.86606
UKL2,246.90833
UKM5,222.02155
UKM7,263.59924
UKM8,306.21317
UKM9,258.82532
UKN0,252.17166
SE21,148.71141
SE22,152.61412
SE23,177.8931
SE31,173.34764
SE32,172.5094
SE33,161.30849
SI03,298.67065
SI04,362.92618
SK01,180.45471
SK02,195.58548
SK03,241.56964
SK04,224.40839
TR10,152.41402
TR21,161.42708
UKE4,217.18292
UKF1,199.35307
UKF2,179.6814
UKF3,176.02852
UKG1,194.28365
UKG2,205.06291
UKG3,194.46906
UKH1,171.13089
UKH2,176.14444
UKH3,165.00923
UKI3,169.33063
UKI4,169.33063
UKI5,168.33495
UKI6,172.61784
UKI7,172.70316
UKJ1,182.11066
UKJ2,173.41122
UKJ3,182.91602
UKJ4,169.1056
NO09,282.68802
NO0A,375.29214
NO0B,148.1835
HR05,241.38557
HR06,235.93115
NO02,212.74959
NO06,273.71912
NO07,249.13432
NO08,225.274
