nuts,August Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
TR51,9.880182
TR52,5.077649
TR61,9.206072
TR62,13.438674
TR63,8.294332
TR71,5.383528
TR72,8.27651
TR81,49.302605
UKK1,62.56891
UKK2,65.323364
UKK3,66.86434
UKK4,68.11966
UKL1,86.331894
UKL2,76.37412
UKM5,82.247856
UKM7,97.56871
UKM8,118.68215
UKM9,101.79962
UKN0,96.92302
SE21,78.23203
SE22,81.00187
SE23,103.255714
SE31,96.680016
SE32,98.045
SE33,96.06853
SI03,107.028275
SI04,129.50145
SK01,66.977394
SK02,73.0046
SK03,89.1851
SK04,86.53203
TR10,21.053091
TR21,14.27567
UKE4,81.22093
UKF1,70.18728
UKF2,62.24352
UKF3,66.9284
UKG1,60.356186
UKG2,68.105804
UKG3,65.61637
UKH1,65.23423
UKH2,65.02779
UKH3,60.585762
UKI3,66.44969
UKI4,66.44969
UKI5,65.20627
UKI6,68.57234
UKI7,68.02433
UKJ1,62.23657
UKJ2,67.509766
UKJ3,65.08979
UKJ4,66.01475
NO09,123.39676
NO0A,168.38019
NO0B,35.150703
HR05,74.161545
HR06,75.669624
NO02,114.276665
NO06,131.1547
NO07,106.015854
NO08,108.1601
