nuts,June Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
FRD1,66.70601
FRD2,71.57573
FRE1,72.85807
FRE2,73.655365
FRF1,100.39786
NL13,92.305695
NL21,89.097435
NL22,86.72822
NL23,87.25739
NL31,82.73356
NL32,80.16957
ITG2,17.777554
ITH1,156.47928
ITH2,163.75201
FRI3,61.64313
FRJ1,65.21292
FRJ2,91.477974
FRK1,87.614136
FRK2,105.54838
FRL0,65.283676
FRM0,32.584465
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,15.678956
TR32,16.095436
TR33,29.810873
HR03,78.11768
HR02,93.15198
HU11,68.52514
HU12,72.806915
HU21,75.69373
HU22,82.868576
PT16,25.133717
PT17,11.235764
FRF2,81.828636
FRF3,90.03454
FRG0,55.93643
FRH0,58.254395
FRI1,77.81253
FRI2,85.7931
ITC4,117.54772
ITF1,68.98462
ITF2,53.771973
ITF3,39.43322
ITF4,26.780064
ITF5,34.200867
ITF6,26.743563
ITG1,12.869241
LT01,92.366005
LT02,88.65828
LU00,92.21107
PL22,103.53719
PL41,76.811615
PL42,83.394455
PT18,13.15677
PT20,0.0
PT30,0.0
RO11,119.96275
RO12,131.12537
RO21,107.77502
RO22,75.14958
RO31,95.68083
RO32,88.40352
ITH3,130.0809
ITH4,162.7764
ITH5,73.05722
ITI1,54.206745
ITI2,58.519405
ITI3,63.60483
ITI4,50.3049
LI00,238.61739
FI1D,84.40106
TR82,69.40872
TR83,60.9881
TR90,111.89485
TRA1,57.08082
TRA2,2.8648918
PL43,76.82516
PL51,88.06726
PL52,92.26566
PL61,79.84559
PL62,91.80705
PL63,85.68759
PL71,84.26551
PL72,89.754234
PL81,91.96648
PL82,107.27309
PL84,91.71099
PL91,88.45814
PL92,87.88034
PT11,39.389713
PT15,7.6836534
TRB1,28.60175
TRB2,1.7525262
TRC1,11.461611
RS12,74.449196
RS21,92.66699
RS22,79.37133
SE11,67.89983
SE12,79.5248
NL33,75.682045
NL34,74.844055
NL41,82.12204
NL42,83.76176
PL21,116.890854
UKM6,90.17258
TR22,30.410326
TRC2,8.786398
TRC3,1.4394624
UKC1,72.86488
UKC2,73.66658
UKD1,91.718445
UKD3,92.21221
UKD4,92.743095
UKD6,82.33673
UKD7,85.720825
UKE1,71.36841
UKE2,80.98627
UKE3,75.721405
RO41,97.2619
RO42,111.00079
RS11,78.99627
TR41,45.02027
TR42,66.794014
TR51,37.774464
TR52,27.018219
TR61,25.01787
TR62,36.622635
TR63,21.155783
TR71,32.85294
TR72,42.627373
TR81,84.09086
UKK1,70.174164
UKK2,70.959755
UKK3,72.32669
UKK4,75.530334
UKL1,87.92657
UKL2,84.76828
UKM5,77.6567
UKM7,88.34454
UKM8,97.001945
UKM9,87.664055
UKN0,87.50936
SE21,78.68818
SE22,83.99709
SE23,96.60759
SE31,91.68696
SE32,88.0797
SE33,83.79739
SI03,123.67791
SI04,142.03835
SK01,75.96245
SK02,84.3622
SK03,110.99372
SK04,104.86002
TR10,35.315105
TR21,44.820595
UKE4,85.88095
UKF1,74.99291
UKF2,72.2776
UKF3,72.246895
UKG1,72.29081
UKG2,75.96406
UKG3,73.23856
UKH1,68.28758
UKH2,69.22632
UKH3,66.03035
UKI3,65.89647
UKI4,65.89647
UKI5,65.37718
UKI6,66.254585
UKI7,67.339134
UKJ1,67.06878
UKJ2,61.33041
UKJ3,62.20988
UKJ4,64.60943
NO09,109.076164
NO0A,127.76071
NO0B,22.001753
HR05,98.83696
HR06,101.30831
NO02,107.85044
NO06,110.50327
NO07,91.11003
NO08,106.38233
