nuts,June Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
FRI3,59.182022
FRJ1,60.577656
FRJ2,79.8319
FRK1,81.8474
FRK2,109.027855
FRL0,67.2781
FRM0,33.6022
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,11.4091425
TR32,13.846022
TR33,24.627972
HR03,78.10528
HR02,101.73951
HU11,67.71149
HU12,72.811295
HU21,75.939125
HU22,82.26194
PT16,21.537107
PT17,9.588272
FRF2,80.552124
FRF3,90.29691
FRG0,52.577038
FRH0,53.730873
FRI1,72.55524
FRI2,83.62106
ITC4,124.6923
ITF1,64.01373
ITF2,50.433907
ITF3,36.657333
ITF4,23.19274
ITF5,31.192507
ITF6,22.447874
ITG1,9.480056
LT01,89.513916
LT02,86.977646
LU00,90.10685
PL22,107.02082
PL41,76.30326
PL42,83.09586
PT18,10.8456335
PT20,0.0
PT30,0.0
RO11,123.113686
RO12,126.83194
RO21,102.26886
RO22,67.595055
RO31,84.88071
RO32,74.457245
ITH3,132.93922
ITH4,156.68735
ITH5,78.08219
ITI1,56.768024
ITI2,61.33324
ITI3,60.37112
ITI4,47.11771
LI00,245.719
FI1D,84.272026
TR82,60.06871
TR83,52.515533
TR90,108.51401
TRA1,51.500057
TRA2,2.6282341
PL43,75.359665
PL51,87.08474
PL52,90.838646
PL61,75.960175
PL62,87.39021
PL63,83.86172
PL71,84.76932
PL72,95.90815
PL81,96.728004
PL82,110.68998
PL84,89.19069
PL91,88.768295
PL92,86.615364
PT11,35.749073
PT15,5.758479
TRB1,24.710278
TRB2,1.7025951
TRC1,9.466327
RS12,82.098175
RS21,91.21103
RS22,78.13658
SE11,66.66037
SE12,78.544495
NL33,75.76096
NL34,74.469574
NL41,84.40582
NL42,88.08577
PL21,114.086105
UKM6,88.95281
TR22,21.293457
TRC2,6.7343554
TRC3,1.137325
UKC1,69.637344
UKC2,71.091095
UKD1,89.08639
UKD3,82.76024
UKD4,85.71025
UKD6,77.608444
UKD7,81.58296
UKE1,64.346794
UKE2,72.31878
UKE3,72.506134
RO41,94.13489
RO42,106.96354
RS11,78.592384
TR41,34.15625
TR42,54.622467
TR51,30.585255
TR52,20.917107
TR61,21.866577
TR62,31.072315
TR63,18.64841
TR71,26.725908
TR72,36.359966
TR81,71.9781
UKK1,61.669678
UKK2,61.649837
UKK3,65.435524
UKK4,65.7319
UKL1,80.041336
UKL2,77.55516
UKM5,74.262505
UKM7,83.8521
UKM8,92.8954
UKM9,85.85165
UKN0,81.98895
SE21,80.54404
SE22,83.616196
SE23,98.308266
SE31,92.47672
SE32,94.28085
SE33,89.33984
SI03,133.23184
SI04,144.95883
SK01,79.8876
SK02,92.84358
SK03,111.608986
SK04,105.02536
TR10,32.502678
TR21,37.555637
UKE4,76.78113
UKF1,70.16347
UKF2,61.969486
UKF3,63.1282
UKG1,65.55479
UKG2,71.43444
UKG3,68.068954
UKH1,59.742367
UKH2,57.14054
UKH3,58.301464
UKI3,57.078777
UKI4,57.078777
UKI5,56.922153
UKI6,57.75145
UKI7,56.8705
UKJ1,60.804596
UKJ2,53.409145
UKJ3,54.814857
UKJ4,56.41673
NO09,103.11983
NO0A,131.31958
NO0B,27.039753
HR05,106.76805
HR06,105.343254
NO02,115.31187
NO06,121.38405
NO07,100.83509
NO08,101.78808
