nuts,August Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
UKF1,65.52892
UKF2,57.33017
UKF3,61.84111
UKG1,57.306564
UKG2,62.845715
UKG3,58.043983
UKH1,60.827003
UKH2,57.57861
UKH3,59.06334
UKI3,57.308807
UKI4,57.308807
UKI5,57.191517
UKI6,60.65556
UKI7,57.305428
UKJ1,58.227993
UKJ2,59.337917
UKJ3,58.53401
UKJ4,59.433376
NO09,111.854065
NO0A,173.46634
NO0B,44.923935
HR05,81.48009
HR06,82.40662
NO02,109.51189
NO06,130.80634
NO07,105.36192
NO08,100.8186
