nuts,September Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
PT20,0.0
PT30,0.0
RO11,83.96163
RO12,76.061264
RO21,62.46467
RO22,49.64121
RO31,59.23101
RO32,56.954903
ITH3,117.76432
ITH4,165.41139
ITH5,95.89586
ITI1,93.06514
ITI2,88.17076
ITI3,77.50182
ITI4,94.99322
LI00,151.78906
FI1D,67.79295
TR82,48.372013
TR83,39.805622
TR90,118.60622
TRA1,29.716887
TRA2,1.628949
PL43,60.02778
PL51,70.71033
PL52,74.42578
PL61,59.11496
PL62,68.14277
PL63,69.1867
PL71,66.64117
PL72,71.32303
PL81,70.69753
PL82,84.25119
PL84,67.50794
PL91,65.97388
PL92,67.51421
PT11,56.41082
PT15,21.623701
TRB1,15.654915
TRB2,0.95167816
TRC1,7.9914336
RS12,59.506603
RS21,65.80588
RS22,55.013958
SE11,60.859016
SE12,63.641953
NL33,79.06689
NL34,67.69312
NL41,66.14562
NL42,66.19132
PL21,84.837006
UKM6,130.34073
TR22,27.717276
TRC2,5.2411084
TRC3,0.9556988
UKC1,63.399876
UKC2,64.76315
UKD1,102.562126
UKD3,81.85566
UKD4,99.46667
UKD6,71.679146
UKD7,86.74385
UKE1,59.714005
UKE2,68.28816
UKE3,60.90634
RO41,60.35071
RO42,74.26654
RS11,57.931076
TR41,28.191652
TR42,50.409924
TR51,14.285634
TR52,12.38763
TR61,20.561104
TR62,27.147305
TR63,17.579357
TR71,14.593423
TR72,20.731419
TR81,67.899994
UKK1,59.389393
UKK2,65.76301
UKK3,68.332695
UKK4,69.48025
UKL1,93.6967
UKL2,75.200485
UKM5,81.52257
UKM7,92.0214
UKM8,120.03288
UKM9,97.06487
UKN0,88.78715
SE21,65.50204
SE22,65.44131
SE23,83.730286
SE31,73.753944
SE32,83.89743
SE33,80.36346
SI03,111.40283
SI04,144.99417
SK01,67.28491
SK02,66.90412
SK03,78.15454
SK04,73.051315
TR10,46.05304
TR21,33.737644
UKE4,69.06384
UKF1,60.34014
UKF2,55.206882
UKF3,59.545856
UKG1,57.91241
UKG2,61.468937
UKG3,58.63212
UKH1,56.888187
UKH2,50.283722
UKH3,50.74026
UKI3,45.237072
UKI4,45.237072
UKI5,45.741062
UKI6,47.884777
UKI7,48.71043
UKJ1,54.765472
UKJ2,58.02756
UKJ3,58.527637
UKJ4,55.109535
NO09,131.82092
NO0A,196.50755
NO0B,56.215965
HR05,90.0685
HR06,86.491615
NO02,91.166374
NO06,134.38072
NO07,109.61759
NO08,98.07522
