nuts,March Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
FRE1,70.28656
FRE2,70.49834
FRF1,92.79347
NL13,64.625275
NL21,69.583664
NL22,71.461105
NL23,68.66294
NL31,70.484955
NL32,66.67644
ITG2,61.470287
ITH1,88.1678
ITH2,89.996
FRI3,66.76908
FRJ1,69.78868
FRJ2,79.49833
FRK1,78.2784
FRK2,94.42664
FRL0,64.814995
FRM0,70.47549
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,81.0611
TR32,77.89307
TR33,65.15711
HR03,112.67556
HR02,75.22504
HU11,47.822403
HU12,48.981617
HU21,52.02546
HU22,54.822075
PT16,66.01194
PT17,50.353153
FRF2,80.87898
FRF3,90.07131
FRG0,64.24455
FRH0,74.11767
FRI1,81.00631
FRI2,88.49891
ITC4,79.6888
ITF1,87.545006
ITF2,85.55824
ITF3,105.444145
ITF4,66.351395
ITF5,78.65301
ITF6,97.000595
ITG1,53.36425
LT01,51.79975
LT02,50.675858
LU00,82.46693
PL22,68.48877
PL41,53.67416
PL42,55.961266
PT18,48.233562
PT20,0.0
PT30,0.0
RO11,76.136024
RO12,68.97797
RO21,60.495636
RO22,51.435444
RO31,56.552372
RO32,51.776352
ITH3,86.762245
ITH4,116.45339
ITH5,80.07845
ITI1,77.640686
ITI2,90.11074
ITI3,78.22888
ITI4,97.17049
LI00,136.17467
FI1D,39.982887
TR82,81.00164
TR83,77.86743
TR90,110.78278
TRA1,65.94728
TRA2,2.3029032
PL43,55.830326
PL51,62.675476
PL52,60.42084
PL61,51.53229
PL62,54.82041
PL63,52.58911
PL71,56.530605
PL72,59.10579
PL81,53.656975
PL82,62.712517
PL84,50.821064
PL91,53.745773
PL92,52.527763
PT11,89.911964
PT15,48.27082
TRB1,98.598625
TRB2,7.388562
TRC1,75.73434
RS12,59.297276
RS21,81.196815
RS22,69.460304
SE11,38.09614
SE12,40.33475
NL33,69.8899
NL34,66.96869
NL41,71.60817
NL42,73.85644
PL21,68.80588
UKM6,118.26181
TR22,76.29718
TRC2,73.94506
TRC3,15.133905
UKC1,68.30381
UKC2,68.79264
UKD1,95.24405
UKD3,83.7578
UKD4,92.85623
UKD6,72.718285
UKD7,79.980965
UKE1,58.73921
UKE2,69.72463
UKE3,64.16489
RO41,66.93946
RO42,73.59705
RS11,68.15325
TR41,69.39395
TR42,89.14406
TR51,57.38575
TR52,51.26375
TR61,75.76451
TR62,87.49025
TR63,91.468155
TR71,57.168518
TR72,73.10038
TR81,94.49635
UKK1,64.52715
UKK2,68.692986
UKK3,77.44611
UKK4,72.851845
UKL1,95.0629
UKL2,81.12534
UKM5,79.928375
UKM7,96.66698
UKM8,110.2938
UKM9,93.00721
UKN0,84.67855
SE21,43.333336
SE22,48.337105
SE23,52.789314
SE31,48.2003
SE32,52.16376
SE33,49.62023
SI03,87.018265
SI04,107.695755
SK01,51.98509
SK02,57.555714
SK03,66.82471
SK04,59.8296
TR10,71.17898
TR21,68.672966
UKE4,71.52574
UKF1,62.649616
UKF2,55.50582
UKF3,56.091045
UKG1,60.90212
UKG2,67.55028
UKG3,61.452618
UKH1,56.596355
UKH2,53.71729
UKH3,53.093063
UKI3,51.741493
UKI4,51.741493
UKI5,50.832508
UKI6,53.784798
UKI7,52.69157
UKJ1,58.187763
UKJ2,58.439274
UKJ3,61.784603
UKJ4,56.68733
NO09,103.70473
NO0A,146.37033
NO0B,63.20025
HR05,71.99461
HR06,69.85963
NO02,59.454456
NO06,101.34794
NO07,84.66942
NO08,70.50427
