nuts,Annual Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DEA5,1071.8975
DEB1,927.062
DEB2,960.13055
DEB3,901.74634
DEC0,1000.56915
DED2,888.9908
DED4,964.88763
DED5,785.2853
DEE0,783.8213
DEF0,932.61414
DEG0,883.1376
DK01,863.12
DK02,839.917
DK03,937.5605
DK04,938.2497
ES41,575.7955
ES42,422.53082
HU23,778.25604
HU31,735.28076
HU32,742.45105
HU33,691.6466
IE04,1327.1035
EE00,903.8052
EL30,348.8606
EL41,542.96674
EL43,367.0965
EL51,684.16473
EL52,678.11346
FI20,732.7906
FR10,765.1733
FRB0,781.0434
FRC1,1005.87067
FRC2,1390.0359
FRD1,863.6026
FRD2,853.9154
FRE1,876.6285
FRE2,842.0401
FRF1,1160.6875
NL13,917.8101
NL21,937.06146
NL22,911.91406
NL23,966.5206
NL31,924.09283
NL32,1009.42035
ITG2,493.5281
ITH1,1366.3727
ITH2,1386.3761
FRI3,803.19836
FRJ1,900.33984
FRJ2,973.31396
FRK1,1019.02014
FRK2,1250.9165
FRL0,857.55426
FRM0,697.8775
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,645.7388
TR32,575.33374
TR33,490.97574
HR03,1310.2227
HR02,984.8246
HU11,689.36865
HU12,707.3347
HU21,746.6053
HU22,796.2507
PT16,724.07605
PT17,486.96362
FRF2,959.6559
FRF3,1062.6616
FRG0,740.0092
FRH0,838.9272
FRI1,941.8149
FRI2,1059.5132
ITC4,1230.2131
ITF1,887.262
ITF2,797.7324
ITF3,953.94556
ITF4,593.3702
ITF5,615.15485
ITF6,776.86346
ITG1,498.83234
LT01,899.4837
LT02,887.6159
LU00,985.9721
PL22,990.88794
PL41,766.0771
PL42,838.57074
PT18,456.4622
PT20,0.0
PT30,0.0
RO11,1059.1615
RO12,1003.1152
RO21,842.6728
RO22,650.9392
RO31,784.10004
RO32,733.32623
ITH3,1243.1123
ITH4,1599.7509
ITH5,967.06555
ITI1,930.944
ITI2,902.6841
ITI3,829.92255
ITI4,978.1235
LI00,1987.8607
FI1D,826.2086
TR82,821.8508
TR83,745.6753
TR90,1299.1285
TRA1,624.298
TRA2,26.853926
PL43,777.18585
PL51,871.04834
PL52,859.25726
PL61,768.7745
PL62,836.47894
PL63,857.92883
PL71,806.4617
PL72,854.7741
PL81,864.5177
PL82,1023.0989
PL84,835.5949
PL91,817.71954
PL92,809.9418
PT11,936.76935
PT15,372.08386
TRB1,743.8837
TRB2,52.161312
TRC1,537.95856
RS12,755.1041
RS21,928.6561
RS22,797.3891
SE11,732.4024
SE12,777.5452
NL33,935.07025
NL34,865.63336
NL41,890.0871
NL42,902.4852
PL21,1051.0057
UKM6,1582.4788
TR22,653.4798
TRC2,521.87317
TRC3,100.78206
UKC1,907.35913
UKC2,915.7703
UKD1,1365.2275
UKD3,1112.1312
UKD4,1295.3441
UKD6,964.5905
UKD7,1106.6221
UKE1,795.23047
UKE2,961.7925
UKE3,853.2188
RO41,832.6936
RO42,945.10645
RS11,780.5686
TR41,581.967
TR42,838.04926
TR51,459.32294
TR52,446.61884
TR61,615.882
TR62,676.8161
TR63,632.6568
TR71,471.16006
TR72,589.0217
TR81,978.5159
UKK1,836.1749
UKK2,907.25226
UKK3,1000.8538
UKK4,977.5827
UKL1,1264.5834
UKL2,1064.4358
UKM5,1014.07245
UKM7,1233.4229
UKM8,1541.9207
UKM9,1322.9403
UKN0,1165.5718
SE21,798.02094
SE22,854.6042
SE23,1020.9751
SE31,893.2171
SE32,984.9692
SE33,969.8889
SI03,1214.7683
SI04,1482.6257
SK01,749.3096
SK02,825.1118
SK03,983.4894
SK04,939.928
TR10,708.6175
TR21,627.6698
UKE4,969.7163
UKF1,839.3386
UKF2,746.0093
UKF3,756.29047
UKG1,807.355
UKG2,880.23285
UKG3,809.7561
UKH1,746.388
UKH2,728.2474
UKH3,739.5516
UKI3,736.08405
UKI4,736.08405
UKI5,725.6876
UKI6,747.5993
UKI7,737.2453
UKJ1,767.4975
UKJ2,839.94464
UKJ3,832.1232
UKJ4,799.07587
NO09,1520.537
NO0A,2274.9255
NO0B,701.9062
HR05,987.5702
HR06,990.66626
NO02,1112.5496
NO06,1557.2264
NO07,1297.5521
NO08,1147.3832
