nuts,December Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DEC0,105.28058
DED2,66.531815
DED4,75.13457
DED5,62.58915
DEE0,63.43062
DEF0,77.820015
DEG0,75.99471
DK01,70.48335
DK02,68.17032
DK03,76.65459
DK04,74.39041
ES41,75.11303
ES42,56.013775
HU23,58.272163
HU31,49.208954
HU32,55.51085
HU33,53.39513
IE04,129.33052
EE00,61.42165
EL30,69.3235
EL41,117.500595
EL43,81.264854
EL51,86.90235
EL52,83.15099
FI20,66.626236
FR10,79.71375
FRB0,80.27965
FRC1,98.440475
FRC2,138.3793
FRD1,97.93525
FRD2,89.83746
FRE1,88.262695
FRE2,87.729485
FRF1,111.17949
NL13,76.18742
NL21,81.36477
NL22,83.006325
NL23,84.54319
NL31,80.71098
NL32,93.80884
ITG2,65.52747
ITH1,75.696144
ITH2,76.88613
FRI3,90.52777
FRJ1,77.53189
FRJ2,86.18274
FRK1,90.41559
FRK2,114.74152
FRL0,81.77687
FRM0,87.40768
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,123.152885
TR32,115.32027
TR33,67.25697
HR03,144.75166
HR02,75.67757
HU11,50.26486
HU12,49.90454
HU21,55.050056
HU22,52.61619
PT16,120.86236
PT17,93.99088
FRF2,102.12328
FRF3,112.779045
FRG0,88.01183
FRH0,106.90738
FRI1,92.92065
FRI2,105.5938
ITC4,78.416794
ITF1,98.68916
ITF2,90.170685
ITF3,122.68915
ITF4,66.95804
ITF5,73.92116
ITF6,106.116745
ITG1,70.33091
LT01,60.826817
LT02,61.35693
LU00,101.67738
PL22,63.914593
PL41,54.205044
PL42,61.8702
PT18,81.87215
PT20,0.0
PT30,0.0
RO11,73.60551
RO12,56.638317
RO21,43.676933
RO22,43.600517
RO31,48.30682
RO32,45.82405
ITH3,78.75696
ITH4,113.97421
ITH5,81.50332
ITI1,97.62348
ITI2,91.96606
ITI3,86.41078
ITI4,110.16573
LI00,130.74133
FI1D,51.18433
TR82,89.4257
TR83,77.26795
TR90,107.39442
TRA1,57.318
TRA2,2.3213496
PL43,57.16486
PL51,60.11702
PL52,53.98786
PL61,50.79343
PL62,57.563423
PL63,58.93163
PL71,54.571877
PL72,52.268806
PL81,57.85622
PL82,63.47899
PL84,55.617207
PL91,57.92829
PL92,55.87545
PT11,148.4355
PT15,83.3758
TRB1,103.10265
TRB2,7.038765
TRC1,100.15679
RS12,55.8896
RS21,70.64415
RS22,64.9222
SE11,57.087166
SE12,55.202377
NL33,85.42965
NL34,80.286026
NL41,80.13886
NL42,83.663475
PL21,61.058483
UKM6,162.47697
TR22,100.40219
TRC2,87.35657
TRC3,18.307598
UKC1,81.66476
UKC2,82.05852
UKD1,138.78006
UKD3,104.354485
UKD4,129.37465
UKD6,84.60169
UKD7,104.84293
UKE1,66.638435
UKE2,86.81737
UKE3,70.748886
RO41,59.76691
RO42,71.262535
RS11,58.8252
TR41,73.90558
TR42,101.882645
TR51,56.555466
TR52,63.328278
TR61,114.38569
TR62,119.004745
TR63,105.29472
TR71,60.441074
TR72,65.35402
TR81,108.782745
UKK1,75.97802
UKK2,92.11236
UKK3,115.18172
UKK4,103.91804
UKL1,132.41183
UKL2,104.36893
UKM5,88.16576
UKM7,119.10865
UKM8,149.3613
UKM9,128.8363
UKN0,106.58362
SE21,60.61149
SE22,65.85596
SE23,75.50563
SE31,56.76205
SE32,63.558784
SE33,60.388573
SI03,84.543335
SI04,108.96769
SK01,45.347225
SK02,56.097378
SK03,62.71902
SK04,57.710808
TR10,100.2614
TR21,80.43156
UKE4,85.60358
UKF1,69.16624
UKF2,59.430077
UKF3,59.416813
UKG1,68.80378
UKG2,75.716896
UKG3,67.160805
UKH1,62.821888
UKH2,60.67682
UKH3,63.643444
UKI3,63.64704
UKI4,63.64704
UKI5,61.81652
UKI6,66.81667
UKI7,64.20692
UKJ1,65.86572
UKJ2,88.55239
UKJ3,86.52362
UKJ4,77.928444
NO09,131.22314
NO0A,216.50455
NO0B,70.41609
HR05,72.184746
HR06,69.63717
NO02,71.85263
NO06,121.42174
NO07,95.670654
NO08,81.53888
