nuts,April Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DEE0,47.641853
DEF0,51.50988
DEG0,58.449093
DK01,39.450428
DK02,39.5047
DK03,47.713387
DK04,49.873745
ES41,71.91482
ES42,54.68035
HU23,58.465824
HU31,57.33247
HU32,60.942154
HU33,56.742638
IE04,79.60484
EE00,45.30393
EL30,23.858362
EL41,36.166622
EL43,25.71914
EL51,56.76765
EL52,58.696526
FI20,35.807175
FR10,63.715553
FRB0,70.67865
FRC1,87.582634
FRC2,108.87567
FRD1,67.44191
FRD2,67.80805
FRE1,62.80659
FRE2,66.00638
FRF1,83.12245
NL13,57.6674
NL21,58.921654
NL22,58.822624
NL23,56.60196
NL31,60.241264
NL32,51.0821
ITG2,55.114147
ITH1,104.68999
ITH2,119.988045
FRI3,74.03796
FRJ1,96.426605
FRJ2,105.35304
FRK1,101.5854
FRK2,117.16488
FRL0,93.01369
FRM0,68.41798
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,53.55917
TR32,49.451817
TR33,56.26531
HR03,110.46287
HR02,79.05706
HU11,52.547897
HU12,55.19857
HU21,54.939556
HU22,56.343456
PT16,79.15213
PT17,54.437458
FRF2,75.27774
FRF3,78.5034
FRG0,66.41334
FRH0,70.78196
FRI1,95.445114
FRI2,104.765495
ITC4,112.23414
ITF1,87.098434
ITF2,80.17208
ITF3,89.00117
ITF4,47.393147
ITF5,63.132103
ITF6,66.35032
ITG1,41.29953
LT01,55.602863
LT02,53.087093
LU00,70.57754
PL22,69.438065
PL41,46.46034
PL42,49.97484
PT18,55.544125
PT20,0.0
PT30,0.0
RO11,87.51033
RO12,92.904434
RO21,71.87746
RO22,53.71653
RO31,67.29705
RO32,60.884075
ITH3,104.87459
ITH4,139.26965
ITH5,94.09315
ITI1,91.19345
ITI2,91.58081
ITI3,80.44154
ITI4,94.99167
LI00,138.13211
FI1D,41.64317
TR82,86.282646
TR83,86.56201
TR90,109.56625
TRA1,76.32778
TRA2,2.5779448
PL43,49.47086
PL51,56.520203
PL52,57.748657
PL61,46.056908
PL62,49.80145
PL63,49.019367
PL71,51.896877
PL72,62.842808
PL81,60.48019
PL82,72.394196
PL84,55.046745
PL91,54.904633
PL92,54.644863
PT11,101.830124
PT15,47.35342
TRB1,94.8526
TRB2,7.0047016
TRC1,61.645206
RS12,61.735355
RS21,80.99797
RS22,74.864075
SE11,36.843445
SE12,44.321087
NL33,57.560703
NL34,58.250652
NL41,59.04146
NL42,57.914886
PL21,79.77235
UKM6,87.724655
TR22,57.598423
TRC2,62.8432
TRC3,12.927022
UKC1,67.44318
UKC2,65.8494
UKD1,80.57731
UKD3,78.626205
UKD4,79.64795
UKD6,70.08353
UKD7,71.781166
UKE1,63.720898
UKE2,70.60658
UKE3,70.613434
RO41,76.03849
RO42,84.05015
RS11,64.829544
TR41,61.612156
TR42,76.27036
TR51,56.944893
TR52,47.729305
TR61,60.50883
TR62,65.758736
TR63,70.61236
TR71,55.525852
TR72,77.39662
TR81,88.094635
UKK1,65.88545
UKK2,68.20624
UKK3,69.474976
UKK4,72.19713
UKL1,77.75086
UKL2,75.7666
UKM5,69.13396
UKM7,75.65057
UKM8,83.48742
UKM9,76.24634
UKN0,73.917595
SE21,43.65077
SE22,43.78911
SE23,52.907604
SE31,48.807533
SE32,50.493233
SE33,47.51329
SI03,93.035545
SI04,118.972336
SK01,52.348408
SK02,59.57613
SK03,74.83022
SK04,71.60853
TR10,47.37193
TR21,47.286278
UKE4,74.49168
UKF1,68.496475
UKF2,62.515675
UKF3,62.819878
UKG1,64.896805
UKG2,68.86455
UKG3,66.68619
UKH1,58.635895
UKH2,61.514698
UKH3,56.966064
UKI3,58.1527
UKI4,58.1527
UKI5,59.10419
UKI6,59.030056
UKI7,60.207504
UKJ1,63.688255
UKJ2,56.670532
UKJ3,62.387318
UKJ4,56.790302
NO09,75.99073
NO0A,116.695526
NO0B,47.80705
HR05,73.3739
HR06,71.44438
NO02,58.39744
NO06,92.28265
NO07,78.51977
NO08,63.67829
