nuts,February Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
UKD3,80.09991
UKD4,95.107445
UKD6,63.04046
UKD7,71.71624
UKE1,49.834198
UKE2,70.43588
UKE3,56.373676
RO41,49.63821
RO42,62.68173
RS11,55.058968
TR41,61.47173
TR42,77.17576
TR51,48.020382
TR52,47.94792
TR61,83.39018
TR62,85.29983
TR63,86.582886
TR71,46.394905
TR72,56.561806
TR81,88.78325
UKK1,54.49776
UKK2,63.961063
UKK3,81.83054
UKK4,73.31383
UKL1,96.76582
UKL2,80.61239
UKM5,75.4043
UKM7,94.33706
UKM8,118.37617
UKM9,98.47971
UKN0,81.9298
SE21,46.43695
SE22,50.337486
SE23,55.438557
SE31,40.1812
SE32,44.73899
SE33,48.96758
SI03,80.5188
SI04,89.41013
SK01,43.34072
SK02,48.814518
SK03,59.76783
SK04,55.199856
TR10,68.24462
TR21,62.75544
UKE4,69.980934
UKF1,54.449974
UKF2,45.598976
UKF3,45.097805
UKG1,51.85862
UKG2,60.791367
UKG3,52.037376
UKH1,46.9424
UKH2,45.61582
UKH3,46.0596
UKI3,45.45883
UKI4,45.45883
UKI5,44.759224
UKI6,46.731792
UKI7,47.046894
UKJ1,47.437748
UKJ2,54.83151
UKJ3,57.585716
UKJ4,50.69603
NO09,99.35914
NO0A,182.57642
NO0B,59.365604
HR05,68.74526
HR06,65.307
NO02,55.319508
NO06,106.50526
NO07,94.80586
NO08,62.173122
