nuts,April Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
SE33,45.42192
SI03,93.54661
SI04,116.13089
SK01,51.92127
SK02,59.060745
SK03,76.69093
SK04,72.680435
TR10,49.314156
TR21,54.469494
UKE4,73.446686
UKF1,64.75895
UKF2,59.408966
UKF3,59.455593
UKG1,62.82296
UKG2,66.58874
UKG3,63.46652
UKH1,55.838985
UKH2,59.995605
UKH3,56.467663
UKI3,60.614277
UKI4,60.614277
UKI5,60.591072
UKI6,61.055325
UKI7,59.49479
UKJ1,60.518333
UKJ2,60.130272
UKJ3,61.94554
UKJ4,59.454033
NO09,76.59664
NO0A,109.74135
NO0B,48.715935
HR05,72.31566
HR06,72.16537
NO02,57.94146
NO06,87.26538
NO07,76.174805
NO08,61.702854
