nuts,Autumn Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
ITF2,247.10013
ITF3,359.00607
ITF4,200.5036
ITF5,196.39494
ITF6,271.8098
ITG1,196.48251
LT01,193.34233
LT02,203.72246
LU00,238.97417
PL22,215.2771
PL41,155.93373
PL42,184.8643
PT18,146.66539
PT20,0.0
PT30,0.0
RO11,213.10252
RO12,182.96135
RO21,150.8411
RO22,135.57185
RO31,153.43056
RO32,144.60022
ITH3,379.6547
ITH4,511.882
ITH5,312.59976
ITI1,342.00424
ITI2,294.45697
ITI3,245.84583
ITI4,362.9194
LI00,420.45557
FI1D,207.92307
TR82,195.81342
TR83,180.17932
TR90,364.45914
TRA1,142.1342
TRA2,6.2196527
PL43,162.9469
PL51,187.34846
PL52,191.27573
PL61,153.52148
PL62,187.6762
PL63,193.01244
PL71,172.62006
PL72,181.16043
PL81,181.38034
PL82,218.48589
PL84,175.63017
PL91,169.61476
PL92,169.6548
PT11,277.76254
PT15,123.22703
TRB1,156.68825
TRB2,10.708217
TRC1,118.41245
RS12,171.82413
RS21,207.86513
RS22,176.68222
SE11,195.08939
SE12,190.94788
NL33,252.46922
NL34,229.1788
NL41,206.83734
NL42,205.88055
PL21,220.56465
UKM6,467.84396
TR22,179.5491
TRC2,110.31353
TRC3,20.477537
UKC1,226.08992
UKC2,231.5672
UKD1,367.3253
UKD3,285.78644
UKD4,356.7945
UKD6,244.25887
UKD7,311.76813
UKE1,198.64923
UKE2,241.36746
UKE3,206.49405
RO41,181.68657
RO42,203.37592
RS11,182.16042
TR41,143.00465
TR42,212.02472
TR51,99.89746
TR52,90.61114
TR61,140.96817
TR62,154.90678
TR63,138.6353
TR71,98.53217
TR72,129.76277
TR81,258.08313
UKK1,217.6312
UKK2,255.17543
UKK3,289.39944
UKK4,279.2749
UKL1,356.3576
UKL2,276.3403
UKM5,278.9242
UKM7,321.82544
UKM8,422.7065
UKM9,350.56958
UKN0,302.8663
SE21,200.17612
SE22,216.05899
SE23,263.8995
SE31,227.30153
SE32,243.07095
SE33,240.76741
SI03,360.49936
SI04,478.3507
SK01,184.53896
SK02,195.10367
SK03,221.88078
SK04,204.55138
TR10,225.54388
TR21,181.09079
UKE4,239.24335
UKF1,205.66093
UKF2,183.72224
UKF3,188.98676
UKG1,208.35355
UKG2,218.18428
UKG3,203.56476
UKH1,191.50099
UKH2,178.06583
UKH3,180.73708
UKI3,169.8482
UKI4,169.8482
UKI5,169.91415
UKI6,177.51692
UKI7,176.36089
UKJ1,192.5562
UKJ2,230.37112
UKJ3,231.77887
UKJ4,208.69148
NO09,418.22983
NO0A,669.98444
NO0B,205.80455
HR05,279.96945
HR06,274.5754
NO02,275.5884
NO06,414.30707
NO07,351.0416
NO08,299.56332
