nuts,Summer Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
TR83,82.85216
TR90,244.78584
TRA1,82.7787
TRA2,4.82746
PL43,249.2244
PL51,292.05603
PL52,289.6709
PL61,258.54184
PL62,270.6845
PL63,279.38766
PL71,260.28683
PL72,283.28406
PL81,293.01584
PL82,326.03912
PL84,260.85626
PL91,266.6057
PL92,262.48425
PT11,59.398636
PT15,9.943052
TRB1,33.147106
TRB2,2.2704177
TRC1,10.836294
RS12,189.43367
RS21,200.0008
RS22,169.02582
SE11,223.54535
SE12,252.53554
NL33,221.27724
NL34,199.57613
NL41,218.32454
NL42,219.5011
PL21,346.57013
UKM6,303.47217
TR22,40.715317
TRC2,7.8542705
TRC3,1.4862767
UKC1,212.13568
UKC2,223.53906
UKD1,273.7967
UKD3,244.29317
UKD4,262.28964
UKD6,221.34299
UKD7,244.58162
UKE1,192.78165
UKE2,215.50273
UKE3,207.11588
RO41,215.71762
RO42,251.55983
RS11,184.02008
TR41,57.369724
TR42,114.14617
TR51,44.19628
TR52,31.460333
TR61,32.937645
TR62,48.820843
TR63,26.319277
TR71,38.579376
TR72,44.83878
TR81,157.98401
UKK1,164.44681
UKK2,166.65456
UKK3,168.4505
UKK4,178.08038
UKL1,235.28435
UKL2,216.2704
UKM5,233.68372
UKM7,265.4434
UKM8,294.10657
UKM9,269.45938
UKN0,253.94492
SE21,239.78746
SE22,239.89456
SE23,299.8172
SE31,294.8413
SE32,319.59875
SE33,325.0505
SI03,311.96756
SI04,330.556
SK01,239.17992
SK02,247.29901
SK03,292.0757
SK04,289.32263
TR10,78.280014
TR21,72.77254
UKE4,221.64809
UKF1,198.41357
UKF2,172.00269
UKF3,189.25368
UKG1,173.90315
UKG2,198.40381
UKG3,186.5433
UKH1,180.74658
UKH2,172.86127
UKH3,166.3592
UKI3,165.57567
UKI4,165.57567
UKI5,166.25461
UKI6,167.34279
UKI7,168.12308
UKJ1,166.92764
UKJ2,153.61911
UKJ3,158.01537
UKJ4,164.48097
NO09,319.2756
NO0A,468.19086
NO0B,101.880936
HR05,250.08252
HR06,252.00313
NO02,352.1803
NO06,411.94876
NO07,353.14493
NO08,323.89865
