nuts,Autumn Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
PL81,173.55554
PL82,204.65088
PL84,172.48251
PL91,165.09843
PL92,163.46089
PT11,312.3771
PT15,148.86052
TRB1,168.76912
TRB2,10.924673
TRC1,128.68993
RS12,164.01212
RS21,195.80394
RS22,167.95416
SE11,193.80255
SE12,192.38388
NL33,256.5731
NL34,224.41483
NL41,207.31813
NL42,205.83282
PL21,208.32565
UKM6,454.85596
TR22,189.26541
TRC2,119.70514
TRC3,22.744875
UKC1,223.59392
UKC2,223.24725
UKD1,347.31866
UKD3,275.58594
UKD4,342.40155
UKD6,227.75986
UKD7,286.42355
UKE1,194.72163
UKE2,236.05008
UKE3,196.91151
RO41,168.845
RO42,192.94034
RS11,172.30765
TR41,148.5559
TR42,220.1047
TR51,104.84296
TR52,93.71749
TR61,160.1978
TR62,168.2539
TR63,148.75761
TR71,100.18382
TR72,132.01665
TR81,255.65262
UKK1,193.05586
UKK2,233.22409
UKK3,264.63696
UKK4,250.03456
UKL1,333.96658
UKL2,256.95615
UKM5,272.63412
UKM7,310.39935
UKM8,398.49304
UKM9,334.61758
UKN0,297.8673
SE21,199.5702
SE22,209.5231
SE23,252.70576
SE31,220.54668
SE32,231.72978
SE33,226.04243
SI03,349.73975
SI04,457.6256
SK01,173.42686
SK02,189.09792
SK03,219.1306
SK04,191.65479
TR10,223.87396
TR21,183.62605
UKE4,233.00706
UKF1,193.70212
UKF2,176.01431
UKF3,178.61533
UKG1,186.30075
UKG2,201.81573
UKG3,181.50699
UKH1,183.66595
UKH2,166.28267
UKH3,172.26028
UKI3,164.54712
UKI4,164.54712
UKI5,164.44852
UKI6,167.90944
UKI7,166.30804
UKJ1,175.31033
UKJ2,218.40845
UKJ3,219.93997
UKJ4,197.41843
NO09,411.00098
NO0A,640.6315
NO0B,190.3333
HR05,283.41412
HR06,271.02603
NO02,262.1813
NO06,387.2908
NO07,326.27197
NO08,295.0251
