nuts,January Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
ITI3,63.658398
ITI4,94.44156
LI00,133.82428
FI1D,47.546135
TR82,78.09898
TR83,71.629265
TR90,110.76477
TRA1,58.440094
TRA2,2.4444778
PL43,57.242172
PL51,61.657936
PL52,51.850033
PL61,52.554462
PL62,58.559994
PL63,61.486862
PL71,49.803192
PL72,51.35673
PL81,51.965775
PL82,61.35837
PL84,53.432217
PL91,52.028526
PL92,50.99316
PT11,126.13686
PT15,48.05434
TRB1,101.74941
TRB2,7.124208
TRC1,98.067024
RS12,52.845097
RS21,66.0988
RS22,57.130245
SE11,54.937485
SE12,53.319084
NL33,76.34908
NL34,73.884926
NL41,78.26715
NL42,86.14174
PL21,61.209583
UKM6,165.18588
TR22,92.03929
TRC2,94.90209
TRC3,17.075706
UKC1,86.09508
UKC2,86.412636
UKD1,136.35263
UKD3,100.039024
UKD4,122.859184
UKD6,80.55399
UKD7,95.24264
UKE1,68.51697
UKE2,88.20203
UKE3,72.60248
RO41,49.44082
RO42,64.97718
RS11,56.64829
TR41,71.08459
TR42,95.040405
TR51,56.01057
TR52,61.600433
TR61,109.22531
TR62,112.64063
TR63,103.48338
TR71,59.59132
TR72,66.5146
TR81,106.59616
UKK1,76.84107
UKK2,89.88242
UKK3,113.02398
UKK4,100.26449
UKL1,128.42613
UKL2,104.25496
UKM5,98.55681
UKM7,127.73045
UKM8,162.31165
UKM9,128.70612
UKN0,110.132965
SE21,61.363434
SE22,68.89725
SE23,73.55885
SE31,58.93863
SE32,64.480316
SE33,61.215298
SI03,73.4136
SI04,94.70905
SK01,45.432354
SK02,54.387974
SK03,63.203526
SK04,54.716618
TR10,86.12393
TR21,73.193596
UKE4,88.65667
UKF1,71.127
UKF2,61.40318
UKF3,62.900883
UKG1,69.8145
UKG2,76.29551
UKG3,67.2286
UKH1,65.05113
UKH2,60.085045
UKH3,64.33435
UKI3,63.236286
UKI4,63.236286
UKI5,62.38973
UKI6,66.65731
UKI7,63.076656
UKJ1,65.122856
UKJ2,84.39722
UKJ3,82.35894
UKJ4,75.631805
NO09,149.31773
NO0A,213.71819
NO0B,71.12785
HR05,65.88875
HR06,61.165752
NO02,75.57122
NO06,129.80916
NO07,95.694115
NO08,86.77847
