nuts,February Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
PT18,56.00993
PT20,0.0
PT30,0.0
RO11,66.31165
RO12,57.531307
RO21,49.189472
RO22,46.821613
RO31,51.8926
RO32,48.94078
ITH3,83.52041
ITH4,108.417076
ITH5,80.77481
ITI1,84.34486
ITI2,81.182915
ITI3,73.2976
ITI4,101.00584
LI00,123.257286
FI1D,40.48098
TR82,78.13731
TR83,69.93819
TR90,100.71298
TRA1,61.901855
TRA2,2.2892413
PL43,52.232788
PL51,58.26995
PL52,53.570816
PL61,45.88172
PL62,52.74786
PL63,50.29327
PL71,49.4582
PL72,51.07192
PL81,52.006214
PL82,64.93147
PL84,52.116398
PL91,50.708546
PL92,48.73825
PT11,108.31463
PT15,47.16832
TRB1,97.37764
TRB2,7.3113933
TRC1,78.6584
RS12,56.059803
RS21,72.15214
RS22,62.72797
SE11,41.422424
SE12,42.310493
NL33,62.05972
NL34,60.279495
NL41,63.76536
NL42,67.81085
PL21,65.28046
UKM6,123.08467
TR22,85.29126
TRC2,77.54674
TRC3,16.489471
UKC1,74.08423
UKC2,71.23973
UKD1,96.51855
UKD3,77.68742
UKD4,92.23088
UKD6,64.49622
UKD7,73.5003
UKE1,53.18772
UKE2,68.77986
UKE3,57.82819
RO41,58.602554
RO42,69.02209
RS11,59.143845
TR41,65.71207
TR42,87.34895
TR51,50.17306
TR52,49.04499
TR61,76.384766
TR62,72.50606
TR63,81.25958
TR71,47.161
TR72,62.215725
TR81,95.846375
UKK1,55.963066
UKK2,66.07445
UKK3,82.8622
UKK4,74.34108
UKL1,92.994934
UKL2,78.3377
UKM5,76.91182
UKM7,92.867325
UKM8,115.03434
UKM9,96.476265
UKN0,84.137184
SE21,49.136204
SE22,54.690647
SE23,55.899006
SE31,48.082596
SE32,55.73557
SE33,54.749092
SI03,87.23805
SI04,105.43831
SK01,49.554386
SK02,58.97744
SK03,65.24026
SK04,60.188843
TR10,78.639046
TR21,70.6886
UKE4,69.35795
UKF1,55.248604
UKF2,48.115067
UKF3,50.589375
UKG1,53.30366
UKG2,60.076935
UKG3,52.806477
UKH1,53.296036
UKH2,48.03098
UKH3,53.353592
UKI3,51.24046
UKI4,51.24046
UKI5,49.609085
UKI6,53.249386
UKI7,49.81132
UKJ1,49.711197
UKJ2,62.83419
UKJ3,63.650753
UKJ4,60.022194
NO09,112.063446
NO0A,169.04488
NO0B,64.533455
HR05,76.28428
HR06,73.40926
NO02,63.149162
NO06,113.44606
NO07,97.56437
NO08,72.350876
