nuts,Annual Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
FRM0,729.8037
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,690.6572
TR32,669.66034
TR33,522.3886
HR03,1304.5609
HR02,935.3952
HU11,653.0608
HU12,672.4068
HU21,703.98395
HU22,759.1942
PT16,781.0095
PT17,565.0715
FRF2,949.209
FRF3,1045.7397
FRG0,763.89966
FRH0,847.37744
FRI1,1004.407
FRI2,1076.101
ITC4,1212.3671
ITF1,943.6255
ITF2,854.3712
ITF3,1011.42096
ITF4,615.84424
ITF5,696.24963
ITF6,871.167
ITG1,568.6165
LT01,817.7014
LT02,801.7331
LU00,988.9202
PL22,912.02216
PL41,708.66095
PL42,779.64777
PT18,523.97864
PT20,0.0
PT30,0.0
RO11,991.95325
RO12,964.18933
RO21,784.7223
RO22,617.94135
RO31,759.0145
RO32,709.85626
ITH3,1226.4932
ITH4,1592.6221
ITH5,984.92065
ITI1,954.044
ITI2,935.1633
ITI3,867.3067
ITI4,1023.1329
LI00,1928.5441
FI1D,730.3668
TR82,806.1851
TR83,732.76044
TR90,1353.7917
TRA1,660.97156
TRA2,27.194447
PL43,722.38245
PL51,825.4543
PL52,791.2018
PL61,704.36884
PL62,780.602
PL63,787.54376
PL71,734.98047
PL72,780.707
PL81,782.3431
PL82,936.197
PL84,763.9683
PL91,730.9937
PL92,733.61945
PT11,1020.6974
PT15,462.89697
TRB1,779.39606
TRB2,53.59391
TRC1,594.908
RS12,707.133
RS21,887.0801
RS22,754.48254
SE11,676.0819
SE12,728.2255
NL33,894.6253
NL34,833.9153
NL41,855.9138
NL42,873.6568
PL21,967.6176
UKM6,1527.7412
TR22,684.2179
TRC2,547.9862
TRC3,108.45532
UKC1,867.9401
UKC2,885.7303
UKD1,1278.2992
UKD3,1070.9375
UKD4,1225.8962
UKD6,918.99896
UKD7,1049.187
UKE1,746.443
UKE2,902.1647
UKE3,809.04456
RO41,815.37854
RO42,904.32007
RS11,752.2148
TR41,595.51373
TR42,833.4561
TR51,469.45447
TR52,453.7415
TR61,685.64557
TR62,723.0882
TR63,670.7066
TR71,471.73883
TR72,605.13995
TR81,971.0826
UKK1,799.4351
UKK2,877.38025
UKK3,990.18146
UKK4,955.957
UKL1,1204.8127
UKL2,1032.4769
UKM5,987.483
UKM7,1171.1678
UKM8,1437.9895
UKM9,1226.4645
UKN0,1114.0226
SE21,760.3167
SE22,780.04645
SE23,917.48596
SE31,830.5705
SE32,888.33813
SE33,863.9069
SI03,1184.6625
SI04,1461.7882
SK01,701.3337
SK02,769.6025
SK03,933.4755
SK04,880.95416
TR10,706.9918
TR21,654.33545
UKE4,919.1827
UKF1,798.7085
UKF2,702.87933
UKF3,724.3679
UKG1,771.11487
UKG2,841.23987
UKG3,769.34186
UKH1,717.5904
UKH2,688.2287
UKH3,693.0509
UKI3,686.7178
UKI4,686.7178
UKI5,681.60547
UKI6,712.27655
UKI7,688.7487
UKJ1,728.241
UKJ2,789.62146
UKJ3,802.6481
UKJ4,748.0556
NO09,1407.0022
NO0A,2095.675
NO0B,643.4733
HR05,965.13544
HR06,936.3054
NO02,1012.82385
NO06,1423.9387
NO07,1183.6388
NO08,1061.3853
