nuts,Summer Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
UKH3,180.69536
UKI3,180.01082
UKI4,180.01082
UKI5,183.0842
UKI6,184.48741
UKI7,179.7259
UKJ1,183.16855
UKJ2,171.63382
UKJ3,176.09407
UKJ4,178.45686
NO09,357.6587
NO0A,446.46606
NO0B,97.34634
HR05,250.67455
HR06,252.40398
NO02,355.18015
NO06,386.71252
NO07,327.9968
NO08,331.81158
